REPDTE,CERT,NAME,STALP,DEPDOM,ASSET,LNLSNET,CHBAL,EQ
20130331,10208,UNITED SOUTHWEST BANK,MN,44405,48707,15930,10822,3820.0
20130331,10212,COMMERCE BANK,MN,132328,164035,124341,2722,24001.0
20130331,10214,VERMILLION STATE BANK,MN,454712,518387,280747,10674,62921.0
20130331,10218,CITIZENS BANK&TRUST CO,MN,178752,195875,120798,7800,17006.0
20130331,1022,CLARE BANK NATIONAL ASSN,WI,256989,285693,156208,37534,27989.0
20130331,10236,GOOSE RIVER BANK,ND,108143,121335,60502,14450,9257.0
20130331,10243,FIRST STATE BANK OF GOLVA,ND,67893,75082,37457,3163,7007.0
20130331,10248,FIRST INTERNATIONAL B&T,ND,1214284,1345020,908776,52805,112671.0
20130331,10249,UNITED COMMUNITY BANK OF ND,ND,256942,284662,208897,18554,25500.0
20130331,10250,PEOPLES STATE BANK OF VELVA,ND,77964,86950,53672,9346,7683.0
20130331,10253,FIRST SECURITY BANK WEST,ND,56147,65713,21905,23374,9331.0
20130331,10255,OLD FORT BANKING CO,OH,368973,429483,235536,33206,41171.0
20130331,10266,CITIZENS BANK CO,OH,94090,109548,49296,2848,13157.0
20130331,10267,FARMERS CITIZENS BANK,OH,334764,374551,238275,15470,33159.0
20130331,1027,FARMERS BANK&TRUST CO,AR,361401,407289,314706,49609,35476.0
20130331,10280,FARMERS&MERCHANTS BANK,OH,88391,99586,59828,11479,10977.0
20130331,1028,FBT BANK&MORTGAGE,AR,99656,122147,56428,9723,14412.0
20130331,10306,GATES BANKING&TRUST CO,TN,35600,40788,12695,942,4802.0
20130331,10307,FIRST VOLUNTEER BANK,TN,790329,891604,589957,172948,88765.0
20130331,10308,BANK OF FAYETTE COUNTY,TN,278080,316350,242633,5987,29405.0
20130331,10315,BANK OF HALLS,TN,56995,65918,24201,2710,7872.0
20130331,10316,MEDINA BANKING CO,TN,36417,43657,11160,4421,7128.0
20130331,10317,CITIZENS B&T GRAINGER CNTY,TN,156888,190763,67861,7542,32676.0
20130331,10318,SEVIER COUNTY BANK,TN,279920,306105,178381,32543,24303.0
20130331,10319,CITIZENS SAVINGS B&T CO,TN,80644,91048,61943,13178,8465.0
20130331,10327,CITIZENS STB OF LULING,TX,55971,63050,40282,6005,6975.0
20130331,10330,COMMERCIAL STATE BANK,TX,62021,70986,31824,2085,5820.0
20130331,10334,OAKWOOD STATE BANK,TX,3180,4247,1075,413,1061.0
20130331,10344,SCHERTZ BANK&TRUST,TX,178266,201118,97759,19246,22433.0
20130331,10345,PEOPLES STATE BANK,TX,101346,110019,42928,9402,8328.0
20130331,10352,CROWELL STATE BANK,TX,29614,33278,16595,7570,3191.0
20130331,10359,HAPPY STATE BANK,TX,1873479,2172290,1340781,119019,204236.0
20130331,10363,CITIZENS&FARMERS BANK,VA,696710,986522,682197,70109,122756.0
20130331,10374,BANNER BANKS,WI,79098,94087,40653,20018,12292.0
20130331,10375,ADVANTAGE COMMUNITY BANK,WI,103908,125806,89897,16905,13786.0
20130331,10378,BANK OF NEW GLARUS,WI,166989,208071,144988,8574,22313.0
20130331,10380,OOSTBURG STATE BANK,WI,149089,183573,130092,4142,24500.0
20130331,10382,FARMERS&MERCHANTS BANK&TRUST,WI,145561,161675,90603,9491,15402.0
20130331,10383,STATE BANK FINANCIAL,WI,247334,309064,182157,26203,36470.0
20130331,10384,WAUMANDEE STATE BANK,WI,143326,160559,118891,10692,16890.0
20130331,1039,BANK OF EDWARDSVILLE,IL,1340629,1612887,616450,51351,156775.0
20130331,10407,FARMERS STATE BANK OF BRUSH,CO,92232,109228,55108,7946,16230.0
20130331,1040,MIDLAND STATES BANK,IL,1234247,1523289,945672,110080,156199.0
20130331,10434,STATE BANK OF GRAYMONT,IL,187422,207375,103655,7841,18374.0
20130331,10437,FIRST STATE BANK OF OLMSTED,IL,37528,42253,24040,5029,4466.0
20130331,10438,RARITAN STATE BANK,IL,155905,172194,87846,5627,15287.0
20130331,10439,VILLAGE BANK,IL,71440,79646,44454,29089,7368.0
20130331,10446,CISSNA PARK STATE BANK,IL,58180,63321,21100,28531,5044.0
