CERT,REPDTE,BKCLASS,CALLFORM,DEPUNA,DEPUNINS,ACTEVT
10581,20100331,NM,41,0,45613,
10582,20100331,NM,41,0,654,
10588,20100331,NM,41,0,20619,
1058,20100331,SM,41,321127,321127,810
10594,20100331,NM,41,0,11183,
10595,20100331,NM,41,0,12639,
10597,20100331,NM,41,0,1053,
105,20100331,NM,41,0,11254,
10606,20100331,NM,41,0,12600,
10608,20100331,NM,41,0,27378,
1060,20100331,NM,41,0,45444,
10611,20100331,NM,41,0,0,
10613,20100331,NM,41,0,2305,
10618,20100331,NM,41,0,46787,
10619,20100331,NM,41,218498,218498,
10620,20100331,NM,41,0,2658,
10621,20100331,NM,41,0,46089,
10623,20100331,NM,41,0,5763,
10626,20100331,NM,41,0,249,
10628,20100331,NM,41,0,5385,
10629,20100331,NM,41,0,5890,
10634,20100331,NM,41,541661,541661,
10635,20100331,NM,41,0,544,
10637,20100331,NM,41,0,290,
10639,20100331,NM,41,0,8347,
10641,20100331,NM,41,0,484,
10643,20100331,NM,41,0,8169,
10644,20100331,NM,41,0,273,
10647,20100331,SM,41,0,2654,
10650,20100331,NM,41,0,5594,
10652,20100331,NM,41,0,1269,
10653,20100331,NM,41,0,459,
10663,20100331,SM,41,0,36726,
10667,20100331,SM,41,0,117945,810
10672,20100331,NM,41,0,11033,
10674,20100331,NM,41,0,4813,
10677,20100331,NM,41,0,11912,
10678,20100331,NM,41,0,24224,
1067,20100331,NM,41,0,8481,
10685,20100331,NM,41,0,27488,
10688,20100331,NM,41,0,9013,
1068,20100331,SM,41,0,189803,
10693,20100331,NM,41,0,21191,
10704,20100331,SM,41,0,2697,
10709,20100331,NM,41,0,12949,
10712,20100331,NM,41,0,2561,
10716,20100331,NM,41,0,952,
10719,20100331,NM,41,0,17151,
1071,20100331,NM,41,0,95130,
10730,20100331,NM,41,0,1673,
10734,20100331,NM,41,0,4200,
1073,20100331,SM,41,0,53311,
10741,20100331,NM,41,0,3495,
10781,20100331,NM,41,0,66972,
10788,20100331,SM,41,0,2352,
10791,20100331,NM,41,0,6082,
10799,20100331,NM,41,0,5534,
107,20100331,NM,41,0,7482,
10802,20100331,NM,41,0,2070,
10803,20100331,NM,41,0,1819,
10804,20100331,SM,41,0,10772,
10805,20100331,NM,41,0,7520,
10809,20100331,NM,41,0,3747,
1080,20100331,SM,41,0,11926,
10810,20100331,NM,41,0,329,
10816,20100331,NM,41,0,68,
1081,20100331,SM,41,854590,854590,
10820,20100331,NM,41,0,385,
10821,20100331,NM,41,0,9778,
10825,20100331,NM,41,0,4500,
10828,20100331,NM,41,0,25062,
10829,20100331,NM,41,0,8159,
10831,20100331,SM,41,0,14414,
10840,20100331,NM,41,0,2,
10843,20100331,NM,41,0,1061,
10844,20100331,N,41,0,28683,810
10845,20100331,NM,41,0,7670,
10849,20100331,NM,41,0,6519,810
10853,20100331,NM,41,0,7749,810
10855,20100331,NM,41,0,2068,
10856,20100331,NM,41,0,5881,
10857,20100331,NM,41,0,5287,
10858,20100331,NM,41,0,1768,
10860,20100331,NM,41,0,5943,
10868,20100331,SM,41,0,22576,
1086,20100331,SM,41,0,40560,
10871,20100331,NM,41,0,5977,
