REPDTE,CERT,NAME,STALP,DEPDOM,ASSET,LNLSNET,CHBAL,EQ
20200331,10004,ERGO BANK,WI,77700,95114,69681,4548,12061
20200331,10011,WOODFORD STATE BANK,WI,196880,256172,168339,8385,24494
20200331,10012,PORTAGE COUNTY BANK,WI,142528,161445,105878,28933,18673
20200331,10015,SECURITY BANK,WI,100234,115649,94583,4748,14901
20200331,10044,NATIONAL EXCHANGE BANK&TRUST,WI,1614693,2089096,1272764,191617,408155
20200331,10055,FIRST SOUTHERN BANK,GA,123080,141312,85771,28392,17829
20200331,10057,BANK OF HANCOCK COUNTY,GA,59267,76416,22288,8415,17026
20200331,1005,ISABELLA BANK,MI,1322587,1765482,1168467,96680,163376
20200331,10072,PLANTERS&CITIZENS BANK,GA,87544,99991,41445,19516,12215
20200331,10074,WILKINSON COUNTY BANK,GA,40853,49466,26583,6273,8445
20200331,10075,PEOPLES STATE BANK OF COLFAX,IL,29717,34165,20214,9881,4275
20200331,10077,FARMERS STATE BANK OF EMDEN,IL,24033,33862,10997,978,9668
20200331,10080,REYNOLDS STATE BANK,IL,79055,98503,14322,14919,19349
20200331,1008,BANK MICHIGAN,MI,87205,105576,75010,17012,10022
20200331,10101,NAPOLEON STATE BANK,IN,250164,289322,223740,30445,31611
20200331,10111,OHNWARD BANK&TRUST,IA,235530,297522,228671,15616,39384
20200331,10118,LEIGHTON STATE BANK,IA,155597,194464,148744,13915,24760
20200331,10120,AMERICAN TRUST&SAVINGS BANK,IA,26757,33964,8054,12410,6364
20200331,10121,LIBERTY TRUST&SAVINGS BANK,IA,113624,146424,82056,9316,31949
20200331,10122,FARMERS SAVINGS BANK&TRUST,IA,148389,170779,89018,20310,17107
20200331,10123,FIRST TRUST&SAVINGS BANK,IA,37631,49146,11496,1198,5987
20200331,10125,CITIZENS SAVINGS BANK,IA,118909,135744,68419,10895,13271
20200331,10127,SUCCESS BANK,IA,162908,200042,155579,22350,23741
20200331,10132,EXCHANGE STATE BANK,IA,88716,114377,90010,15706,11802
20200331,10137,COMMERCIAL BANK OF GRAYSON,KY,151542,178783,85132,15161,26376
20200331,10145,HART COUNTY BANK&TRUST CO,KY,21804,28361,18802,2131,6522
20200331,10146,COMMONWEALTH BANK&TRUST CO,KY,963108,1165832,813848,95783,108600
20200331,1014,CHOICEONE BANK,MI,585509,696162,453353,19894,83723
20200331,10157,SHELBY STATE BANK,MI,244805,275774,171142,18042,25243
20200331,10159,FIRST STATE BANK&TRUST,MN,247495,276559,189988,25107,23605
20200331,10160,STEARNS BANK HOLDINGFORD NA,MN,81117,98766,83427,457,16824
20200331,10162,FIRST STATE BANK MINNESOTA,MN,61360,70312,47302,7864,7717
20200331,10163,SECURITY STB OF MARINE,MN,128817,144363,105048,33193,15216
20200331,10165,FARMERS&MERCHANTS STB PIERZ,MN,202699,226333,157602,12169,23147
20200331,10167,CITIZENS STB OF ROSEAU,MN,194064,224027,121411,13879,29224
20200331,10168,FIRST FARMERS&MERCHANTS BANK,MN,283686,334970,238799,37208,48143
20200331,10169,SHERBURNE STATE BANK,MN,123730,135496,92708,18269,11028
20200331,10174,FARMERS STB OF UNDERWOOD,MN,61765,72924,53564,10896,7018
20200331,10175,SECURITY STB OF HIBBING,MN,116310,132325,67378,32487,13680
20200331,10176,FINANCIAL SECURITY BANK,MN,86204,107710,84384,2579,9362
20200331,10178,PRODUCE STATE BANK,MN,86766,97196,53550,22679,9718
20200331,10184,F&M BANK MINNESOTA,MN,97375,126028,83414,3445,12826
20200331,10185,ELYSIAN BANK,MN,44919,50822,31293,15951,5730
20200331,10187,NORTHERN STB OF GONVICK,MN,32633,39772,6999,11599,7069
20200331,10191,PRINSBANK,MN,119975,143785,97384,36470,22918
20200331,10194,PINE RIVER STATE BANK,MN,107915,118977,71693,24235,10581
20200331,10196,NORTHERN SKY BANK,MN,66501,78772,45513,15581,12167
20200331,10197,HOMETOWN COMMUNITY BANK,MN,57427,64411,49227,4483,6822
20200331,10200,STATE BANK OF JEFFERS,MN,24491,28175,15074,1628,3626
20200331,10202,LOWRY STATE BANK,MN,40813,55556,45631,6769,4384
20200331,10208,UNITED SOUTHWEST BANK,MN,43552,47764,16392,4341,4119
20200331,10212,COMMERCE BANK,MN,157291,211081,177068,16849,26931
20200331,10214,VERMILLION STATE BANK,MN,512446,615031,317990,34453,101429
20200331,10218,CITIZENS BANK&TRUST CO,MN,203847,223151,147480,4021,19084
20200331,1022,CLARE BANK NATIONAL ASSN,WI,244895,281017,152338,24499,35714
20200331,10236,GOOSE RIVER BANK,ND,116070,129781,91772,15938,13370
20200331,10243,FIRST STATE BANK OF GOLVA,ND,72926,81425,36133,5267,8412
20200331,10248,FIRST INTERNATIONAL B&T,ND,3100835,3594586,2506653,416790,329764
20200331,10249,UNITED COMMUNITY BANK OF ND,ND,313366,350709,250498,26198,36451
20200331,10250,PEOPLES STATE BANK OF VELVA,ND,103847,117036,86732,11194,11239
20200331,10253,FIRST SECURITY BANK WEST,ND,59103,67597,36887,10231,8482
20200331,10255,OLD FORT BANKING CO,OH,523547,582828,358531,36631,49619
20200331,10266,CITIZENS BANK CO,OH,201016,230673,165079,7533,29195
20200331,1027,FARMERS BANK&TRUST CO,AR,259574,302284,197094,51576,26154
20200331,10280,FARMERS&MERCHANTS BANK,OH,95912,112495,75522,12018,16350
20200331,1028,FBT BANK&MORTGAGE,AR,135857,175169,98538,21996,17638
20200331,10306,GATES BANKING&TRUST CO,TN,43658,50851,15908,901,5725
20200331,10307,FIRST VOLUNTEER BANK,TN,893987,1035417,809491,145829,130812
20200331,10308,BANK OF FAYETTE COUNTY,TN,591346,678089,568589,41350,62241
20200331,10315,BANK OF HALLS,TN,83758,96012,43467,3981,9304
20200331,10317,CITIZENS B&T GRAINGER CNTY,TN,175141,211969,64218,7246,36124
20200331,10318,SEVIER COUNTY BANK,TN,299051,333312,223471,54438,31132
20200331,10319,CITIZENS SAVINGS B&T CO,TN,86205,97083,73479,14530,6694
20200331,10327,CITIZENS STB OF LULING,TX,58538,69373,56829,8015,10725
20200331,10330,COMMERCIAL STATE BANK,TX,73931,81611,35812,20596,6880
20200331,10334,OAKWOOD BANK,TX,441898,503264,351936,82343,55290
20200331,10344,SCHERTZ BANK&TRUST,TX,377064,432976,362116,30116,53948
20200331,10345,PEOPLES STATE BANK,TX,117861,130465,43675,28835,12305
20200331,10352,CROWELL STATE BANK,TX,34793,39471,23221,6129,4380
20200331,10359,HAPPY STATE BANK,TX,3232006,3927357,2624282,267886,608990
20200331,10363,CITIZENS&FARMERS BANK,VA,1485503,1849083,1319841,149952,203827
20200331,10374,BANNER BANKS,WI,90149,103094,37399,19646,12737
20200331,10375,ADVANTAGE COMMUNITY BANK,WI,125594,149432,92654,23211,20209
20200331,10378,BANK OF NEW GLARUS,WI,254265,321555,245268,10213,37822
20200331,10380,OOSTBURG STATE BANK,WI,206784,248585,165097,8741,33088
20200331,10382,FARMERS&MERCHANTS BANK&TRUST,WI,129314,149667,95650,9312,17634
20200331,10383,STATE BANK FINANCIAL,WI,290766,357334,215849,15479,40219
20200331,10384,WAUMANDEE STATE BANK,WI,163645,185684,144241,12460,21230
20200331,10407,FARMERS STATE BANK OF BRUSH,CO,86070,108914,62408,8184,21415
20200331,1040,MIDLAND STATES BANK,IL,4699638,6194824,4451511,440219,792590
20200331,10434,STATE BANK OF GRAYMONT,IL,182246,209810,135948,14715,26297
20200331,10437,FIRST STATE BANK OF OLMSTED,IL,48706,55883,36851,4934,6851
20200331,10438,RARITAN STATE BANK,IL,166819,189230,141324,4485,21357
20200331,10439,VILLAGE BANK,IL,80409,90204,47460,11874,8797
20200331,10446,FREDERICK COMMUNITY BANK THE,IL,126463,142896,63310,25776,16122
20200331,10458,FARMERS STATE BANK&TRUST CO,IL,85145,95679,64412,9217,8717
20200331,10460,TOWN&COUNTRY BANK MIDWEST,IL,155324,179007,123709,39805,23384
20200331,10463,MIDDLETOWN STATE BANK,IL,33925,38501,26862,1623,3528
20200331,10464,FEDERATED BANK,IL,81808,93550,38768,14259,11610
20200331,10467,GIFFORD STATE BANK,IL,135772,159806,120828,5268,15432
20200331,10469,FARMERS&MERCHANTS BK HUTSONV,IL,36686,44940,27153,10911,8228
20200331,10471,CAMP GROVE STATE BANK,IL,14496,17754,6998,5315,2681
20200331,10473,IPAVA STATE BANK,IL,153691,167001,101072,35517,12993
20200331,10474,CITIZENS STATE BANK,IL,251667,286749,198278,21277,32898
20200331,1047,BANK&TRUST CO,IL,300485,356815,241737,10647,38262
20200331,10489,ELGIN STATE BANK,IA,23029,24883,11853,4427,1829
20200331,10492,FARMERS&MERCHANTS SB,IA,71134,91075,64122,3196,12213
20200331,10494,MOUNT VERNON BANK&TRUST CO,IA,115649,135247,91429,10727,19166
20200331,10497,IOWA STATE BANK,IA,116846,136349,113587,12073,18077
20200331,1049,FIRST NB OF STEELEVILLE,IL,180561,215967,90936,8163,30939
20200331,10500,FARMERS SAVINGS BANK,IA,93909,111370,82109,13168,17074
20200331,10502,BANKWEST OF KANSAS,KS,104168,118628,90614,13021,14313
20200331,10503,FIRST STATE BANK,KS,51544,64201,23087,2422,12582
20200331,10505,KANSAS STATE BANK,KS,127538,145992,62055,3643,15082
20200331,10520,CITIZENS BANK,KY,125660,149072,106459,5730,13635
20200331,10523,BANK OF COMMERCE&TRUST CO,LA,277510,327838,79356,11075,39424
20200331,10528,EXCHANGE B&T NATCHITOCHES LA,LA,136425,161863,67831,10934,17966
20200331,10531,CITIZENS PROGRESSIVE BANK,LA,150470,171702,127157,19240,20307
20200331,10532,CLB THE COMMUNITY BANK,LA,166113,187136,107983,14455,20573
20200331,10533,WINNSBORO STATE B&T CO,LA,197051,241159,174085,29810,22429
20200331,10561,FARMERS STB OF HARTLAND,MN,149718,170451,114789,17641,20535
20200331,10567,UNITED MINNESOTA BANK,MN,31066,33477,25644,2015,2315
20200331,10568,COMMUNITY DEVELOPMENT BK FSB,MN,144806,167498,102419,18669,21073
20200331,10571,FARMERS&MERCHANTS STB ALPHA,MN,35842,40457,24641,10259,4509
20200331,10576,FIRST SOUTHEAST BANK,MN,79405,101819,87328,8871,9360
20200331,10582,CITIZENS STB OF TYLER INC,MN,20143,22566,4147,12681,2358
