date,left,right,eligible,left_count,right_count,shared,left_share,right_share,jaccard,random_expected
2024-03-31,Ridge,MLP,4518,452,452,212,0.4690265486725664,0.4690265486725664,0.3063583815028902,45.22000885347499
2024-03-31,Ridge,Low equity/assets,4518,452,452,145,0.32079646017699115,0.32079646017699115,0.19104084321475626,45.22000885347499
2024-03-31,Ridge,Largest deposits,4518,452,452,12,0.02654867256637168,0.02654867256637168,0.013452914798206279,45.22000885347499
2024-03-31,Ridge,PCA,4518,452,452,85,0.18805309734513273,0.18805309734513273,0.10378510378510379,45.22000885347499
2024-03-31,Ridge,Isolation Forest 42,4518,452,452,214,0.47345132743362833,0.47345132743362833,0.3101449275362319,45.22000885347499
2024-03-31,Ridge,Isolation Forest 7,4518,452,452,186,0.41150442477876104,0.41150442477876104,0.2590529247910863,45.22000885347499
2024-03-31,Ridge,Isolation Forest 99,4518,452,452,181,0.4004424778761062,0.4004424778761062,0.2503457814661134,45.22000885347499
2024-03-31,Ridge,Autoencoder 42,4518,452,452,96,0.21238938053097345,0.21238938053097345,0.1188118811881188,45.22000885347499
2024-03-31,Ridge,Autoencoder 7,4518,452,452,119,0.26327433628318586,0.26327433628318586,0.15159235668789808,45.22000885347499
2024-03-31,Ridge,Autoencoder 99,4518,452,452,90,0.19911504424778761,0.19911504424778761,0.11056511056511056,45.22000885347499
2024-03-31,Ridge,PCA without size,4518,452,452,82,0.18141592920353983,0.18141592920353983,0.09975669099756691,45.22000885347499
2024-03-31,Ridge,Isolation Forest 42 without size,4518,452,452,247,0.5464601769911505,0.5464601769911505,0.3759512937595129,45.22000885347499
2024-03-31,Ridge,Isolation Forest 7 without size,4518,452,452,255,0.5641592920353983,0.5641592920353983,0.3929121725731895,45.22000885347499
2024-03-31,Ridge,Isolation Forest 99 without size,4518,452,452,237,0.5243362831858407,0.5243362831858407,0.3553223388305847,45.22000885347499
2024-03-31,Ridge,Autoencoder 42 without size,4518,452,452,108,0.23893805309734514,0.23893805309734514,0.135678391959799,45.22000885347499
2024-03-31,Ridge,Autoencoder 7 without size,4518,452,452,121,0.2676991150442478,0.2676991150442478,0.1545338441890166,45.22000885347499
2024-03-31,Ridge,Autoencoder 99 without size,4518,452,452,131,0.28982300884955753,0.28982300884955753,0.16946959896507116,45.22000885347499
2024-03-31,MLP,Low equity/assets,4518,452,452,162,0.3584070796460177,0.3584070796460177,0.2183288409703504,45.22000885347499
2024-03-31,MLP,Largest deposits,4518,452,452,15,0.033185840707964605,0.033185840707964605,0.01687289088863892,45.22000885347499
2024-03-31,MLP,PCA,4518,452,452,85,0.18805309734513273,0.18805309734513273,0.10378510378510379,45.22000885347499
2024-03-31,MLP,Isolation Forest 42,4518,452,452,159,0.35176991150442477,0.35176991150442477,0.2134228187919463,45.22000885347499
2024-03-31,MLP,Isolation Forest 7,4518,452,452,148,0.3274336283185841,0.3274336283185841,0.19576719576719576,45.22000885347499
2024-03-31,MLP,Isolation Forest 99,4518,452,452,145,0.32079646017699115,0.32079646017699115,0.19104084321475626,45.22000885347499
2024-03-31,MLP,Autoencoder 42,4518,452,452,94,0.2079646017699115,0.2079646017699115,0.11604938271604938,45.22000885347499
