CERT,NAME,date,Ridge,MLP,Low equity/assets,Largest deposits,PCA,Isolation Forest 42,Isolation Forest 7,Isolation Forest 99,Autoencoder 42,Autoencoder 7,Autoencoder 99,PCA without size,Isolation Forest 42 without size,Isolation Forest 7 without size,Isolation Forest 99 without size,Autoencoder 42 without size,Autoencoder 7 without size,Autoencoder 99 without size
14,STATE STREET BANK&TRUST CO,2024-03-31,0.0029410229,0.030832084,-0.07830261907830262,190845000,0.12271714942330947,0.6588581887556305,0.6434758009259837,0.6512959718916856,0.19931317782546693,0.1761440724602154,0.18608445906359833,0.04465537093461988,0.5737860146289947,0.5628723575589524,0.5768742205246271,0.16014004341114862,0.20578159505460633,0.16580492067318733
14,STATE STREET BANK&TRUST CO,2024-06-30,0.0015636774,0.0078026517,-0.08280011074024879,179519000,0.09332142462218831,0.6546006452662576,0.6512068230054833,0.6556904998594977,0.23856410237649764,0.1962034681530098,0.1661494503346047,0.08054839370117779,0.5746593326225921,0.5638851585579577,0.5745658028118285,0.17426885071822673,0.17491290988753883,0.1975999254623844
14,STATE STREET BANK&TRUST CO,2024-09-30,0.0013457655,0.014974821,-0.0817052306661562,182432000,0.06200452711114611,0.6481183378678973,0.6402824788755361,0.6521803948385294,0.20578772314355892,0.14481005804374197,0.24195164470446398,0.05375921547098504,0.5719897685728528,0.566915978204517,0.5750784035281982,0.16650742784542455,0.18681072429015516,0.12998067976296612
35,AUBURNBANK,2024-03-31,-0.014909921,-0.0033598135,-0.07445779465194978,900850,0.025382595692825683,0.4164218588085087,0.42633261437041475,0.41535086739439836,0.0812646325693602,0.07698355696338272,0.0944951957256219,0.028674450994789193,0.42304476728047113,0.4233342887152176,0.41643132369098507,0.08462727667321807,0.08721699917342776,0.10678374626155157
35,AUBURNBANK,2024-06-30,-0.013007348,-0.003925944,-0.07184717847705044,947493,0.03070366624953187,0.41673769003100647,0.42501183858908514,0.41595972689000266,0.08617190965652044,0.08420304623176043,0.0968139825632777,0.028518405452392162,0.4083840005201805,0.4108284986437451,0.41198111405038756,0.09522340064267881,0.10132679857836105,0.0981002392415575
35,AUBURNBANK,2024-09-30,-0.014402314,-0.016461717,-0.08372589318734351,902761,0.032054366788664655,0.41101990198126886,0.4148835149474815,0.4090344516399219,0.09364516983133696,0.09373696540622722,0.10365930620789424,0.03059707688742344,0.41019678088220834,0.4041103155201222,0.41095861350927165,0.09204099737061938,0.1046289536795955,0.10544526988126487
39,ROBERTSON BANKING CO,2024-03-31,-0.017438179,-0.008844965,-0.08596575992611533,414927,0.024680014450458976,0.3641316336521605,0.36520915655125313,0.3671389566689306,0.04157580553466089,0.03952212469194217,0.0473037060068156,0.027169907443074848,0.3698222742343638,0.36836067375896664,0.36899054785699514,0.035944801095593906,0.054519814301351034,0.04743024518811363
39,ROBERTSON BANKING CO,2024-06-30,-0.017865468,-0.009765827,-0.0897539492499175,417790,0.0079171861086134,0.3600420854972882,0.36633564243412914,0.36139249935145124,0.026581810685428316,0.024640001789712283,0.030599983849623834,0.009588414771078545,0.37005927835979796,0.3632369769587427,0.3674586245619511,0.02755752320248879,0.026807447606345115,0.026773483155960086
39,ROBERTSON BANKING CO,2024-09-30,-0.019668931,-0.014951511,-0.0985402154265721,414388,0.006024850492369402,0.35910007415434664,0.3585853072106036,0.3587570138069527,0.023982640434750443,0.020637633346978768,0.029541486252186194,0.006584716014615105,0.36414622337212427,0.3621238264665824,0.3617888095067221,0.019556231848577958,0.024963867800446418,0.02552159237535288
41,PHENIX-GIRARD BANK,2024-03-31,0.006019218,0.020068267,0.0018867057904908616,276535,0.058023544678053963,0.4842660328172808,0.4851511308656455,0.4661776463268802,0.2975228497912343,0.6963168015950328,0.14186865372359128,0.07265589122432566,0.523879445048704,0.5085868573265363,0.5054064218906658,0.3983242531944038,0.5587157465498089,0.6752500533185077
41,PHENIX-GIRARD BANK,2024-06-30,0.004251243,0.0061840196,-0.0057174598344908595,273966,0.05590347263832065,0.48315650568688373,0.47908516512863975,0.468329210605601,0.2921845507464324,0.6291168068100015,0.14554237844514487,0.06999850880687213,0.5170888077146396,0.5112641643418177,0.5033445209525766,0.4286279374875075,0.6511193251355681,0.7155701911908203
41,PHENIX-GIRARD BANK,2024-09-30,0.0045531653,0.015981052,-0.029740931243503032,280279,0.05512804304310627,0.47788850031137525,0.483489862967931,0.4647742346545471,0.26406710562369157,0.6597373434873006,0.13536058810933776,0.06655278848616761,0.5119159514243649,0.5100730007711408,0.49928393183080355,0.3692776840221502,0.5102135455818722,0.5313390096076488
49,BANK OF EVERGREEN,2024-03-31,-0.0027454153,0.0023998548,-0.0880197887418104,67944,0.030061462955046452,0.4269957690909676,0.42412524856136197,0.42652147557287423,0.04066870370406739,0.04291479657394141,0.0417252220587359,0.03772995677680977,0.4397109428222366,0.43947830158507895,0.42592184768884006,0.05349958321623256,0.047095193867371474,0.05080998949535839
49,BANK OF EVERGREEN,2024-06-30,-0.004115247,0.00027816364,-0.08543289346636627,67850,0.029245597995537536,0.4222565491394159,0.41523122075157826,0.4198495909681619,0.050754212727258795,0.04817733324641931,0.0410965411501444,0.035162372600468825,0.4335767505712469,0.4276957199224702,0.4258452107573757,0.06082443349599285,0.04896650215009236,0.05823110247205202
49,BANK OF EVERGREEN,2024-09-30,-0.003990781,0.0033257985,-0.09641904332469094,68811,0.028929192767981515,0.4173745203683419,0.4155434052467315,0.4119095070794489,0.04697205474158524,0.03903572917494642,0.04389543969099138,0.023635680861453644,0.42660145071543015,0.4212824473525474,0.4145972374352729,0.06069712282675643,0.06089458996182705,0.054979346370891816
50,COMMUNITY SPIRIT BANK,2024-03-31,-0.011431445,-0.004861388,-0.07107008243807067,181741,0.04027071669858684,0.3960138049880432,0.4084390035735679,0.3962120511824078,0.08650463460443296,0.09676172669312112,0.09228261114386256,0.04980430043029164,0.41126738388759215,0.4180640092984016,0.4034381536662179,0.11496239344521991,0.11008402988637628,0.08270772381641957
50,COMMUNITY SPIRIT BANK,2024-06-30,-0.012477081,0.01311492,-0.06801948842874543,188135,0.04147141232561998,0.39039403514045207,0.39970857262314075,0.39145430053257524,0.09013776189311434,0.08931980273954956,0.08321250160408926,0.050943570077782996,0.4091338644134816,0.41229477546213655,0.4109126714133593,0.12576262788842957,0.09829486133791877,0.11313108843315534
50,COMMUNITY SPIRIT BANK,2024-09-30,-0.012789956,-0.0077523002,-0.0758500519850591,188930,0.03541069712314605,0.38670079699197096,0.3976740475315645,0.3928090661823946,0.06557464769410472,0.08368489686927319,0.07244067468748151,0.040263158067049276,0.4023647465207166,0.40963766793252987,0.4066057642795141,0.0760593504878373,0.08948737996137077,0.0741716697159807
