CERT,date,Ridge,MLP,Low equity/assets,Largest deposits,PCA,Isolation Forest 42,Isolation Forest 7,Isolation Forest 99,Autoencoder 42,Autoencoder 7,Autoencoder 99,PCA without size,Isolation Forest 42 without size,Isolation Forest 7 without size,Isolation Forest 99 without size,Autoencoder 42 without size,Autoencoder 7 without size,Autoencoder 99 without size
110,2024-06-30,False,False,False,True,False,True,True,True,False,False,False,False,False,False,False,False,False,False
110,2024-09-30,False,False,False,True,False,True,True,True,False,False,False,False,False,False,False,False,False,False
131,2024-03-31,False,False,False,True,True,False,False,False,False,False,False,True,False,False,False,True,False,False
131,2024-06-30,False,False,False,True,True,False,False,True,False,False,False,True,False,False,False,True,False,True
131,2024-09-30,False,False,False,True,False,False,False,True,True,True,False,True,False,False,False,True,False,False
147,2024-03-31,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
147,2024-06-30,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
147,2024-09-30,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
148,2024-03-31,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
148,2024-06-30,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
148,2024-09-30,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
149,2024-03-31,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
149,2024-06-30,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
149,2024-09-30,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
155,2024-03-31,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
155,2024-06-30,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
155,2024-09-30,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
160,2024-03-31,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
160,2024-06-30,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
160,2024-09-30,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
169,2024-03-31,True,True,True,False,False,True,True,True,False,False,False,False,True,True,True,False,False,False
169,2024-06-30,True,False,False,False,False,True,True,True,False,False,False,False,True,True,True,False,False,False
169,2024-09-30,True,False,False,False,False,True,True,True,False,False,False,False,True,True,True,False,False,False
170,2024-03-31,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
170,2024-06-30,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
170,2024-09-30,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
172,2024-03-31,True,True,False,False,True,True,True,True,False,False,True,True,True,True,True,False,False,False
172,2024-06-30,True,True,False,False,True,True,True,True,True,False,True,True,True,True,True,False,False,False
172,2024-09-30,False,False,False,False,True,True,True,True,True,False,True,True,True,True,True,False,False,False
175,2024-03-31,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
175,2024-06-30,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
175,2024-09-30,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
178,2024-03-31,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
178,2024-06-30,True,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
178,2024-09-30,True,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
183,2024-03-31,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
183,2024-06-30,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
183,2024-09-30,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
197,2024-03-31,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
197,2024-06-30,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False
197,2024-09-30,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False
210,2024-03-31,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
210,2024-06-30,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
210,2024-09-30,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
214,2024-03-31,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
214,2024-06-30,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
214,2024-09-30,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
226,2024-03-31,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
226,2024-06-30,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
226,2024-09-30,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
228,2024-03-31,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
228,2024-06-30,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
228,2024-09-30,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
230,2024-03-31,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
230,2024-06-30,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
230,2024-09-30,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
231,2024-03-31,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
231,2024-06-30,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
231,2024-09-30,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
232,2024-03-31,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
232,2024-06-30,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
232,2024-09-30,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
234,2024-03-31,False,False,False,False,False,True,True,True,False,False,False,False,True,True,True,False,False,False
234,2024-06-30,False,True,False,False,False,True,True,True,False,False,False,False,True,True,True,False,False,False
234,2024-09-30,False,False,False,False,False,True,True,True,False,False,True,False,True,True,True,False,False,False
235,2024-03-31,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
235,2024-06-30,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
235,2024-09-30,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
245,2024-03-31,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
245,2024-06-30,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
245,2024-09-30,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
248,2024-03-31,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
248,2024-06-30,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
248,2024-09-30,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
251,2024-03-31,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
251,2024-06-30,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
251,2024-09-30,False,False,False,False,False,False,False,False,True,True,True,False,False,False,False,True,False,True
252,2024-03-31,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
252,2024-06-30,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
252,2024-09-30,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
253,2024-03-31,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
253,2024-06-30,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
253,2024-09-30,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
254,2024-03-31,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
254,2024-06-30,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
254,2024-09-30,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
258,2024-03-31,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False
258,2024-06-30,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False
258,2024-09-30,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False
262,2024-03-31,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
262,2024-06-30,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
262,2024-09-30,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
267,2024-03-31,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
267,2024-06-30,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
267,2024-09-30,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
275,2024-03-31,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
275,2024-06-30,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
275,2024-09-30,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
281,2024-03-31,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
281,2024-06-30,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
281,2024-09-30,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
284,2024-03-31,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
284,2024-06-30,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
284,2024-09-30,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
287,2024-03-31,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
287,2024-06-30,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
287,2024-09-30,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
288,2024-03-31,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
288,2024-06-30,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
288,2024-09-30,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
289,2024-03-31,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
289,2024-06-30,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
289,2024-09-30,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
291,2024-03-31,False,False,False,False,False,True,True,True,False,False,False,False,True,True,True,False,False,False
291,2024-06-30,False,False,False,False,False,True,False,False,False,False,False,False,True,True,True,False,False,False
291,2024-09-30,False,False,False,False,False,True,True,True,False,False,False,False,True,True,True,False,False,False
292,2024-03-31,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
292,2024-06-30,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
292,2024-09-30,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
296,2024-03-31,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
296,2024-06-30,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
296,2024-09-30,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
297,2024-03-31,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
297,2024-06-30,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
297,2024-09-30,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
303,2024-03-31,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
303,2024-06-30,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
303,2024-09-30,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
304,2024-03-31,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
304,2024-06-30,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
304,2024-09-30,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
306,2024-03-31,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
306,2024-06-30,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
306,2024-09-30,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
307,2024-03-31,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
307,2024-06-30,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
307,2024-09-30,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
314,2024-03-31,True,True,False,False,True,True,False,False,False,True,False,True,True,True,True,True,True,True
314,2024-06-30,False,False,False,False,True,False,False,False,True,True,True,True,False,False,True,True,True,True
314,2024-09-30,False,False,False,False,True,False,False,False,True,True,True,True,False,False,False,True,True,True
321,2024-03-31,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
321,2024-06-30,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
321,2024-09-30,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
324,2024-03-31,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
324,2024-06-30,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
324,2024-09-30,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
327,2024-03-31,False,True,False,False,True,False,False,False,True,True,True,False,False,False,False,True,True,True
327,2024-06-30,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
327,2024-09-30,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False
340,2024-03-31,True,False,False,False,False,True,True,True,True,True,True,False,True,True,True,True,True,True
340,2024-06-30,True,False,False,False,False,True,True,True,True,True,True,False,True,True,True,False,True,True
340,2024-09-30,False,False,False,False,False,True,True,True,True,True,True,False,True,True,True,True,True,True
342,2024-03-31,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
342,2024-06-30,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
342,2024-09-30,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
