CERT,date,target_date
46,2018-12-31,2019-03-31
46,2019-03-31,2019-06-30
46,2019-06-30,2019-09-30
46,2019-09-30,2019-12-31
46,2019-12-31,2020-03-31
46,2020-03-31,2020-06-30
46,2020-06-30,2020-09-30
46,2020-09-30,2020-12-31
46,2020-12-31,2021-03-31
46,2021-03-31,2021-06-30
46,2021-06-30,2021-09-30
46,2021-09-30,2021-12-31
47,2013-06-30,2013-09-30
47,2013-09-30,2013-12-31
47,2013-12-31,2014-03-31
47,2014-03-31,2014-06-30
47,2014-06-30,2014-09-30
47,2014-09-30,2014-12-31
47,2014-12-31,2015-03-31
47,2015-03-31,2015-06-30
47,2015-06-30,2015-09-30
47,2015-09-30,2015-12-31
47,2015-12-31,2016-03-31
47,2016-03-31,2016-06-30
47,2016-06-30,2016-09-30
47,2016-09-30,2016-12-31
47,2016-12-31,2017-03-31
47,2017-03-31,2017-06-30
47,2017-06-30,2017-09-30
47,2017-09-30,2017-12-31
47,2017-12-31,2018-03-31
47,2018-03-31,2018-06-30
47,2018-06-30,2018-09-30
47,2018-09-30,2018-12-31
47,2018-12-31,2019-03-31
47,2019-03-31,2019-06-30
47,2019-06-30,2019-09-30
47,2019-09-30,2019-12-31
47,2019-12-31,2020-03-31
47,2020-03-31,2020-06-30
49,2013-06-30,2013-09-30
49,2013-09-30,2013-12-31
49,2013-12-31,2014-03-31
49,2014-03-31,2014-06-30
49,2014-06-30,2014-09-30
49,2014-09-30,2014-12-31
49,2014-12-31,2015-03-31
49,2015-03-31,2015-06-30
49,2015-06-30,2015-09-30
49,2015-09-30,2015-12-31
49,2015-12-31,2016-03-31
49,2016-03-31,2016-06-30
49,2016-06-30,2016-09-30
49,2016-09-30,2016-12-31
49,2016-12-31,2017-03-31
49,2017-03-31,2017-06-30
49,2017-06-30,2017-09-30
49,2017-09-30,2017-12-31
49,2017-12-31,2018-03-31
49,2018-03-31,2018-06-30
49,2018-06-30,2018-09-30
49,2018-09-30,2018-12-31
49,2018-12-31,2019-03-31
49,2019-03-31,2019-06-30
49,2019-06-30,2019-09-30
49,2019-09-30,2019-12-31
49,2019-12-31,2020-03-31
49,2020-03-31,2020-06-30
49,2020-06-30,2020-09-30
49,2020-09-30,2020-12-31
49,2020-12-31,2021-03-31
49,2021-03-31,2021-06-30
49,2021-06-30,2021-09-30
49,2021-09-30,2021-12-31
49,2021-12-31,2022-03-31
49,2022-03-31,2022-06-30
49,2022-06-30,2022-09-30
49,2022-09-30,2022-12-31
50,2013-06-30,2013-09-30
50,2013-09-30,2013-12-31
50,2013-12-31,2014-03-31
50,2014-03-31,2014-06-30
50,2014-06-30,2014-09-30
50,2014-09-30,2014-12-31
50,2014-12-31,2015-03-31
50,2015-03-31,2015-06-30
50,2015-06-30,2015-09-30
50,2015-09-30,2015-12-31
50,2015-12-31,2016-03-31
50,2016-03-31,2016-06-30
50,2016-06-30,2016-09-30
50,2016-09-30,2016-12-31
50,2016-12-31,2017-03-31
50,2017-03-31,2017-06-30
50,2017-06-30,2017-09-30
50,2017-09-30,2017-12-31
50,2017-12-31,2018-03-31
50,2018-03-31,2018-06-30
50,2018-06-30,2018-09-30
50,2018-09-30,2018-12-31
50,2018-12-31,2019-03-31
50,2019-03-31,2019-06-30
50,2019-06-30,2019-09-30
50,2019-09-30,2019-12-31
50,2019-12-31,2020-03-31
50,2020-03-31,2020-06-30
50,2020-06-30,2020-09-30
50,2020-09-30,2020-12-31
50,2020-12-31,2021-03-31
50,2021-03-31,2021-06-30
50,2021-06-30,2021-09-30
50,2021-09-30,2021-12-31
50,2021-12-31,2022-03-31
50,2022-03-31,2022-06-30
50,2022-06-30,2022-09-30
50,2022-09-30,2022-12-31
51,2013-06-30,2013-09-30
51,2013-09-30,2013-12-31
51,2013-12-31,2014-03-31
51,2014-03-31,2014-06-30
51,2014-06-30,2014-09-30
51,2014-09-30,2014-12-31
51,2014-12-31,2015-03-31
51,2015-03-31,2015-06-30
51,2015-06-30,2015-09-30
51,2015-09-30,2015-12-31
51,2015-12-31,2016-03-31
51,2016-03-31,2016-06-30
51,2016-06-30,2016-09-30
51,2016-09-30,2016-12-31
51,2016-12-31,2017-03-31
51,2017-03-31,2017-06-30
51,2017-06-30,2017-09-30
51,2017-09-30,2017-12-31
51,2017-12-31,2018-03-31
51,2018-03-31,2018-06-30
51,2018-06-30,2018-09-30
51,2018-09-30,2018-12-31
51,2018-12-31,2019-03-31
51,2019-03-31,2019-06-30
51,2019-06-30,2019-09-30
51,2019-09-30,2019-12-31
51,2019-12-31,2020-03-31
51,2020-03-31,2020-06-30
51,2020-06-30,2020-09-30
51,2020-09-30,2020-12-31
51,2020-12-31,2021-03-31
51,2021-03-31,2021-06-30
51,2021-06-30,2021-09-30
51,2021-09-30,2021-12-31
51,2021-12-31,2022-03-31
51,2022-03-31,2022-06-30
51,2022-06-30,2022-09-30
51,2022-09-30,2022-12-31
52,2013-06-30,2013-09-30
52,2013-09-30,2013-12-31
52,2013-12-31,2014-03-31
52,2014-03-31,2014-06-30
52,2014-06-30,2014-09-30
52,2014-09-30,2014-12-31
52,2014-12-31,2015-03-31
52,2015-03-31,2015-06-30
52,2015-06-30,2015-09-30
52,2015-09-30,2015-12-31
52,2015-12-31,2016-03-31
52,2016-03-31,2016-06-30
52,2016-06-30,2016-09-30
52,2016-09-30,2016-12-31
52,2016-12-31,2017-03-31
52,2017-03-31,2017-06-30
52,2017-06-30,2017-09-30
52,2017-09-30,2017-12-31
52,2017-12-31,2018-03-31
52,2018-03-31,2018-06-30
52,2018-06-30,2018-09-30
52,2018-09-30,2018-12-31
52,2018-12-31,2019-03-31
52,2019-03-31,2019-06-30
52,2019-06-30,2019-09-30
52,2019-09-30,2019-12-31
52,2019-12-31,2020-03-31
52,2020-03-31,2020-06-30
52,2020-06-30,2020-09-30
52,2020-09-30,2020-12-31
52,2020-12-31,2021-03-31
52,2021-03-31,2021-06-30
52,2021-06-30,2021-09-30
52,2021-09-30,2021-12-31
52,2021-12-31,2022-03-31
52,2022-03-31,2022-06-30
52,2022-06-30,2022-09-30
52,2022-09-30,2022-12-31
54,2013-06-30,2013-09-30
54,2013-09-30,2013-12-31
54,2013-12-31,2014-03-31
54,2014-03-31,2014-06-30
54,2014-06-30,2014-09-30
54,2014-09-30,2014-12-31
54,2014-12-31,2015-03-31
54,2015-03-31,2015-06-30
54,2015-06-30,2015-09-30
54,2015-09-30,2015-12-31
54,2015-12-31,2016-03-31
54,2016-03-31,2016-06-30
54,2016-06-30,2016-09-30
54,2016-09-30,2016-12-31
54,2016-12-31,2017-03-31
54,2017-03-31,2017-06-30
54,2017-06-30,2017-09-30
54,2017-09-30,2017-12-31
54,2017-12-31,2018-03-31
54,2018-03-31,2018-06-30
54,2018-06-30,2018-09-30
54,2018-09-30,2018-12-31
54,2018-12-31,2019-03-31
54,2019-03-31,2019-06-30
54,2019-06-30,2019-09-30
54,2019-09-30,2019-12-31
54,2019-12-31,2020-03-31
54,2020-03-31,2020-06-30
54,2020-06-30,2020-09-30
54,2020-09-30,2020-12-31
54,2020-12-31,2021-03-31
54,2021-03-31,2021-06-30
54,2021-06-30,2021-09-30
54,2021-09-30,2021-12-31
54,2021-12-31,2022-03-31
54,2022-03-31,2022-06-30
54,2022-06-30,2022-09-30
54,2022-09-30,2022-12-31
58,2013-06-30,2013-09-30
58,2013-09-30,2013-12-31
58,2013-12-31,2014-03-31
58,2014-03-31,2014-06-30
58,2014-06-30,2014-09-30
58,2014-09-30,2014-12-31
58,2014-12-31,2015-03-31
58,2015-03-31,2015-06-30
58,2015-06-30,2015-09-30
58,2015-09-30,2015-12-31
58,2015-12-31,2016-03-31
58,2016-03-31,2016-06-30
58,2016-06-30,2016-09-30
58,2016-09-30,2016-12-31
58,2016-12-31,2017-03-31
58,2017-03-31,2017-06-30
58,2017-06-30,2017-09-30
58,2017-09-30,2017-12-31
58,2017-12-31,2018-03-31
58,2018-03-31,2018-06-30
58,2018-06-30,2018-09-30
58,2018-09-30,2018-12-31
58,2018-12-31,2019-03-31
58,2019-03-31,2019-06-30
58,2019-06-30,2019-09-30
58,2019-09-30,2019-12-31
58,2019-12-31,2020-03-31
58,2020-03-31,2020-06-30
58,2020-06-30,2020-09-30
58,2020-09-30,2020-12-31
58,2020-12-31,2021-03-31
58,2021-03-31,2021-06-30
58,2021-06-30,2021-09-30
58,2021-09-30,2021-12-31
58,2021-12-31,2022-03-31
58,2022-03-31,2022-06-30
58,2022-06-30,2022-09-30
58,2022-09-30,2022-12-31
68,2013-06-30,2013-09-30
68,2013-09-30,2013-12-31
70,2013-06-30,2013-09-30
70,2013-09-30,2013-12-31
70,2013-12-31,2014-03-31
70,2014-03-31,2014-06-30
70,2014-06-30,2014-09-30
70,2014-09-30,2014-12-31
70,2014-12-31,2015-03-31
70,2015-03-31,2015-06-30
70,2015-06-30,2015-09-30
70,2015-09-30,2015-12-31
70,2015-12-31,2016-03-31
70,2016-03-31,2016-06-30
70,2016-06-30,2016-09-30
70,2016-09-30,2016-12-31
70,2016-12-31,2017-03-31
70,2017-03-31,2017-06-30
70,2017-06-30,2017-09-30
70,2017-09-30,2017-12-31
70,2017-12-31,2018-03-31
70,2018-03-31,2018-06-30
70,2018-06-30,2018-09-30
70,2018-09-30,2018-12-31
70,2018-12-31,2019-03-31
70,2019-03-31,2019-06-30
70,2019-06-30,2019-09-30
70,2019-09-30,2019-12-31
70,2019-12-31,2020-03-31
70,2020-03-31,2020-06-30
70,2020-06-30,2020-09-30
70,2020-09-30,2020-12-31
70,2020-12-31,2021-03-31
70,2021-03-31,2021-06-30
70,2021-06-30,2021-09-30
70,2021-09-30,2021-12-31
70,2021-12-31,2022-03-31
70,2022-03-31,2022-06-30
70,2022-06-30,2022-09-30
70,2022-09-30,2022-12-31
72,2013-06-30,2013-09-30
72,2013-09-30,2013-12-31
72,2013-12-31,2014-03-31
72,2014-03-31,2014-06-30
72,2014-06-30,2014-09-30
72,2014-09-30,2014-12-31
72,2014-12-31,2015-03-31
72,2015-03-31,2015-06-30
72,2015-06-30,2015-09-30
72,2015-09-30,2015-12-31
72,2015-12-31,2016-03-31
72,2016-03-31,2016-06-30
72,2016-06-30,2016-09-30
72,2016-09-30,2016-12-31
72,2016-12-31,2017-03-31
72,2017-03-31,2017-06-30
72,2017-06-30,2017-09-30
72,2017-09-30,2017-12-31
72,2017-12-31,2018-03-31
72,2018-03-31,2018-06-30
72,2018-06-30,2018-09-30
72,2018-09-30,2018-12-31
72,2018-12-31,2019-03-31
72,2019-03-31,2019-06-30
72,2019-06-30,2019-09-30
72,2019-09-30,2019-12-31
72,2019-12-31,2020-03-31
72,2020-03-31,2020-06-30
72,2020-06-30,2020-09-30
72,2020-09-30,2020-12-31
72,2020-12-31,2021-03-31
72,2021-03-31,2021-06-30
72,2021-06-30,2021-09-30
72,2021-09-30,2021-12-31
72,2021-12-31,2022-03-31
72,2022-03-31,2022-06-30
72,2022-06-30,2022-09-30
72,2022-09-30,2022-12-31
77,2013-06-30,2013-09-30
77,2013-09-30,2013-12-31
77,2013-12-31,2014-03-31
77,2014-03-31,2014-06-30
77,2014-06-30,2014-09-30
77,2014-09-30,2014-12-31
77,2014-12-31,2015-03-31
77,2015-03-31,2015-06-30
77,2015-06-30,2015-09-30
77,2015-09-30,2015-12-31
77,2015-12-31,2016-03-31
77,2016-03-31,2016-06-30
77,2016-06-30,2016-09-30
77,2016-09-30,2016-12-31
77,2016-12-31,2017-03-31
77,2017-03-31,2017-06-30
77,2017-06-30,2017-09-30
77,2017-09-30,2017-12-31
77,2017-12-31,2018-03-31
77,2018-03-31,2018-06-30
77,2018-06-30,2018-09-30
77,2018-09-30,2018-12-31
77,2018-12-31,2019-03-31
77,2019-03-31,2019-06-30
77,2019-06-30,2019-09-30
77,2019-09-30,2019-12-31
77,2019-12-31,2020-03-31
77,2020-03-31,2020-06-30
77,2020-06-30,2020-09-30
77,2020-09-30,2020-12-31
77,2020-12-31,2021-03-31
77,2021-03-31,2021-06-30
77,2021-06-30,2021-09-30
77,2021-09-30,2021-12-31
77,2021-12-31,2022-03-31
77,2022-03-31,2022-06-30
77,2022-06-30,2022-09-30
77,2022-09-30,2022-12-31
81,2013-06-30,2013-09-30
81,2013-09-30,2013-12-31
81,2013-12-31,2014-03-31
81,2014-03-31,2014-06-30
81,2014-06-30,2014-09-30
81,2014-09-30,2014-12-31
81,2014-12-31,2015-03-31
81,2015-03-31,2015-06-30
81,2015-06-30,2015-09-30
81,2015-09-30,2015-12-31
81,2015-12-31,2016-03-31
81,2016-03-31,2016-06-30
81,2016-06-30,2016-09-30
81,2016-09-30,2016-12-31
81,2016-12-31,2017-03-31
81,2017-03-31,2017-06-30
81,2017-06-30,2017-09-30
81,2017-09-30,2017-12-31
81,2017-12-31,2018-03-31
81,2018-03-31,2018-06-30
81,2018-06-30,2018-09-30
81,2018-09-30,2018-12-31
81,2018-12-31,2019-03-31
81,2019-03-31,2019-06-30
81,2019-06-30,2019-09-30
81,2019-09-30,2019-12-31
81,2019-12-31,2020-03-31
81,2020-03-31,2020-06-30
81,2020-06-30,2020-09-30
81,2020-09-30,2020-12-31
81,2020-12-31,2021-03-31
81,2021-03-31,2021-06-30
81,2021-06-30,2021-09-30
81,2021-09-30,2021-12-31
81,2021-12-31,2022-03-31
81,2022-03-31,2022-06-30
81,2022-06-30,2022-09-30
81,2022-09-30,2022-12-31
88,2013-06-30,2013-09-30
88,2013-09-30,2013-12-31
88,2013-12-31,2014-03-31
88,2014-03-31,2014-06-30
88,2014-06-30,2014-09-30
88,2014-09-30,2014-12-31
88,2014-12-31,2015-03-31
88,2015-03-31,2015-06-30
