Model,MAE (pp),RMSE (pp)
Zero growth,3.601063663616614,6.718198451753548
Persistence,5.110073267139842,9.455749860546256
Ridge,3.9436608494534204,6.617143121448117
MLP,4.140041421803425,6.720948190470274
