Band,Rows,Zero_growth_MAE_pp,MLP_MAE_pp,MLP minus zero (pp)
Smallest 90%,12178,2.396853605128826,2.5906133889932796,0.1937597838644538
Next 9%,1218,11.194293450730546,9.943977469607963,-1.2503159811225828
Largest 1%,136,43.42691816037773,39.886856380419545,-3.5400617799581866
