Epoch,loss,val_loss
1,0.016078049317002296,0.015745077282190323
2,0.010066376067698002,0.014973420649766922
3,0.009748951531946659,0.01511000469326973
4,0.00977172888815403,0.01486722007393837
5,0.00953016709536314,0.01563265547156334
6,0.009443486109375954,0.015979016199707985
7,0.009514380246400833,0.0151966642588377
8,0.009392243809998035,0.015074359253048897
9,0.009404322132468224,0.014838464558124542
10,0.009371337480843067,0.014822525903582573
11,0.009372130036354065,0.014883197844028473
12,0.009391042403876781,0.014896304346621037
13,0.009353778325021267,0.014927834272384644
14,0.009280472993850708,0.015188847668468952
15,0.009330960921943188,0.014900189824402332
16,0.009323987178504467,0.014835096895694733
17,0.00934258196502924,0.015066982246935368
18,0.009343587793409824,0.015019280835986137
19,0.009251759387552738,0.015048624016344547
20,0.009272824972867966,0.01494003739207983
