Quarter,Asset group,Call form,Field,Rows,API populated,Zero values,Coverage,Zero share
20220331,At least USD 1bn,2,DEPUNINS,13,13,5,1.0,0.38461538461538464
20220331,At least USD 1bn,31,DEPUNINS,72,72,2,1.0,0.027777777777777776
20220331,At least USD 1bn,41,DEPUNINS,561,561,2,1.0,0.0035650623885918
20220331,At least USD 1bn,51,DEPUNINS,357,357,1,1.0,0.0028011204481792717
20220331,Below USD 1bn,2,DEPUNINS,4,4,3,1.0,0.75
20220331,Below USD 1bn,31,DEPUNINS,14,14,5,1.0,0.35714285714285715
20220331,Below USD 1bn,41,DEPUNINS,609,609,16,1.0,0.026272577996715927
20220331,Below USD 1bn,51,DEPUNINS,3231,3231,35,1.0,0.010832559579077685
20220630,At least USD 1bn,2,DEPUNINS,13,13,5,1.0,0.38461538461538464
20220630,At least USD 1bn,31,DEPUNINS,72,72,2,1.0,0.027777777777777776
20220630,At least USD 1bn,41,DEPUNINS,552,552,2,1.0,0.0036231884057971015
20220630,At least USD 1bn,51,DEPUNINS,357,357,1,1.0,0.0028011204481792717
20220630,Below USD 1bn,2,DEPUNINS,4,4,3,1.0,0.75
20220630,Below USD 1bn,31,DEPUNINS,13,13,5,1.0,0.38461538461538464
20220630,Below USD 1bn,41,DEPUNINS,612,612,16,1.0,0.026143790849673203
20220630,Below USD 1bn,51,DEPUNINS,3215,3215,37,1.0,0.011508553654743391
20220930,At least USD 1bn,2,DEPUNINS,13,13,5,1.0,0.38461538461538464
20220930,At least USD 1bn,31,DEPUNINS,72,72,2,1.0,0.027777777777777776
20220930,At least USD 1bn,41,DEPUNINS,552,552,3,1.0,0.005434782608695652
20220930,At least USD 1bn,51,DEPUNINS,368,368,1,1.0,0.002717391304347826
20220930,Below USD 1bn,2,DEPUNINS,4,4,3,1.0,0.75
20220930,Below USD 1bn,31,DEPUNINS,12,12,5,1.0,0.4166666666666667
20220930,Below USD 1bn,41,DEPUNINS,603,603,16,1.0,0.026533996683250415
20220930,Below USD 1bn,51,DEPUNINS,3189,3189,36,1.0,0.011288805268109126
20221231,At least USD 1bn,2,DEPUNINS,13,13,5,1.0,0.38461538461538464
20221231,At least USD 1bn,31,DEPUNINS,71,71,2,1.0,0.028169014084507043
20221231,At least USD 1bn,41,DEPUNINS,548,548,3,1.0,0.005474452554744526
20221231,At least USD 1bn,51,DEPUNINS,367,367,1,1.0,0.0027247956403269754
20221231,Below USD 1bn,2,DEPUNINS,4,4,3,1.0,0.75
20221231,Below USD 1bn,31,DEPUNINS,12,12,5,1.0,0.4166666666666667
20221231,Below USD 1bn,41,DEPUNINS,596,596,16,1.0,0.026845637583892617
20221231,Below USD 1bn,51,DEPUNINS,3162,3162,36,1.0,0.011385199240986717
20230331,At least USD 1bn,2,DEPUNINS,13,13,5,1.0,0.38461538461538464
20230331,At least USD 1bn,31,DEPUNINS,69,69,2,1.0,0.028985507246376812
20230331,At least USD 1bn,41,DEPUNINS,545,545,2,1.0,0.003669724770642202
20230331,At least USD 1bn,51,DEPUNINS,380,380,2,1.0,0.005263157894736842
20230331,Below USD 1bn,2,DEPUNINS,4,4,3,1.0,0.75
20230331,Below USD 1bn,31,DEPUNINS,12,12,5,1.0,0.4166666666666667
20230331,Below USD 1bn,41,DEPUNINS,574,574,16,1.0,0.027874564459930314
20230331,Below USD 1bn,51,DEPUNINS,3143,3143,34,1.0,0.010817690104995227
20230630,At least USD 1bn,2,DEPUNINS,13,13,5,1.0,0.38461538461538464
20230630,At least USD 1bn,31,DEPUNINS,67,67,2,1.0,0.029850746268656716
20230630,At least USD 1bn,41,DEPUNINS,544,544,2,1.0,0.003676470588235294
20230630,At least USD 1bn,51,DEPUNINS,386,386,2,1.0,0.0051813471502590676
20230630,Below USD 1bn,2,DEPUNINS,4,4,3,1.0,0.75
20230630,Below USD 1bn,31,DEPUNINS,12,12,5,1.0,0.4166666666666667
20230630,Below USD 1bn,41,DEPUNINS,569,569,16,1.0,0.028119507908611598
20230630,Below USD 1bn,51,DEPUNINS,3119,3119,35,1.0,0.01122154536710484
20230930,At least USD 1bn,2,DEPUNINS,13,13,5,1.0,0.38461538461538464
20230930,At least USD 1bn,31,DEPUNINS,69,69,2,1.0,0.028985507246376812
20230930,At least USD 1bn,41,DEPUNINS,542,542,2,1.0,0.0036900369003690036
20230930,At least USD 1bn,51,DEPUNINS,392,392,1,1.0,0.002551020408163265
20230930,Below USD 1bn,2,DEPUNINS,4,4,3,1.0,0.75
20230930,Below USD 1bn,31,DEPUNINS,12,12,5,1.0,0.4166666666666667
20230930,Below USD 1bn,41,DEPUNINS,562,562,17,1.0,0.030249110320284697
20230930,Below USD 1bn,51,DEPUNINS,3092,3092,36,1.0,0.01164294954721863
20231231,At least USD 1bn,2,DEPUNINS,13,13,5,1.0,0.38461538461538464
20231231,At least USD 1bn,31,DEPUNINS,70,70,2,1.0,0.02857142857142857
20231231,At least USD 1bn,41,DEPUNINS,540,540,2,1.0,0.003703703703703704
20231231,At least USD 1bn,51,DEPUNINS,384,384,1,1.0,0.0026041666666666665
20231231,Below USD 1bn,2,DEPUNINS,4,4,3,1.0,0.75
20231231,Below USD 1bn,31,DEPUNINS,11,11,5,1.0,0.45454545454545453
20231231,Below USD 1bn,41,DEPUNINS,556,556,19,1.0,0.0341726618705036
20231231,Below USD 1bn,51,DEPUNINS,3080,3080,34,1.0,0.01103896103896104
20240331,At least USD 1bn,2,DEPUNINS,13,13,5,1.0,0.38461538461538464
20240331,At least USD 1bn,31,DEPUNINS,71,71,2,1.0,0.028169014084507043
20240331,At least USD 1bn,41,DEPUNINS,539,539,2,1.0,0.0037105751391465678
20240331,At least USD 1bn,51,DEPUNINS,418,418,1,1.0,0.0023923444976076554
20240331,Below USD 1bn,2,DEPUNINS,4,4,3,1.0,0.75
20240331,Below USD 1bn,31,DEPUNINS,11,11,5,1.0,0.45454545454545453
20240331,Below USD 1bn,41,DEPUNINS,534,534,20,1.0,0.03745318352059925
20240331,Below USD 1bn,51,DEPUNINS,3050,3050,35,1.0,0.011475409836065573
20240630,At least USD 1bn,2,DEPUNINS,13,13,5,1.0,0.38461538461538464
20240630,At least USD 1bn,31,DEPUNINS,71,71,2,1.0,0.028169014084507043
20240630,At least USD 1bn,41,DEPUNINS,533,533,2,1.0,0.00375234521575985
20240630,At least USD 1bn,51,DEPUNINS,423,423,1,1.0,0.002364066193853428
