Repeat,Metric,Comparison,Difference
191,Precision difference (pp),MLP minus Ridge,-0.7492451946431999
191,MAE difference (pp),MLP minus Zero growth,0.023120090910071056
191,MAE difference (pp),MLP minus Ridge,-0.018345591099919734
191,MAE difference (pp),Seasonal median minus Zero growth,-0.10639705686780854
192,Precision difference (pp),Ridge minus Size-only Ridge,4.629463040284742
192,Precision difference (pp),MLP minus Ridge,-0.4843902320129573
192,MAE difference (pp),MLP minus Zero growth,0.020431513625032593
192,MAE difference (pp),MLP minus Ridge,-0.016633222737850062
192,MAE difference (pp),Seasonal median minus Zero growth,-0.10310259773204455
193,Precision difference (pp),Ridge minus Size-only Ridge,3.3416179085264592
193,Precision difference (pp),MLP minus Ridge,-0.6634135763377319
193,MAE difference (pp),MLP minus Zero growth,0.05020248308530917
193,MAE difference (pp),MLP minus Ridge,-0.015856971055903557
193,MAE difference (pp),Seasonal median minus Zero growth,-0.08946519785254647
194,Precision difference (pp),Ridge minus Size-only Ridge,1.2714092873753358
194,Precision difference (pp),MLP minus Ridge,1.1634558622743567
194,MAE difference (pp),MLP minus Zero growth,0.033763713802274165
194,MAE difference (pp),MLP minus Ridge,-0.020203535778504644
194,MAE difference (pp),Seasonal median minus Zero growth,-0.10039524879578954
195,Precision difference (pp),Ridge minus Size-only Ridge,3.566530859493364
195,Precision difference (pp),MLP minus Ridge,0.4535111511861062
195,MAE difference (pp),MLP minus Zero growth,0.003916632839670697
195,MAE difference (pp),MLP minus Ridge,-0.025857401641677935
195,MAE difference (pp),Seasonal median minus Zero growth,-0.1077760507210308
196,Precision difference (pp),Ridge minus Size-only Ridge,3.543053764019302
196,Precision difference (pp),MLP minus Ridge,0.06407037415400996
196,MAE difference (pp),MLP minus Zero growth,0.01131645810062576
196,MAE difference (pp),MLP minus Ridge,-0.028358050236714227
196,MAE difference (pp),Seasonal median minus Zero growth,-0.09782242167228361
197,Precision difference (pp),Ridge minus Size-only Ridge,2.856318491239493
197,Precision difference (pp),MLP minus Ridge,1.6444655689818428
197,MAE difference (pp),MLP minus Zero growth,0.05192384593552868
197,MAE difference (pp),MLP minus Ridge,0.003094074230070909
197,MAE difference (pp),Seasonal median minus Zero growth,-0.09992028963852162
198,Precision difference (pp),Ridge minus Size-only Ridge,2.5419648772889936
198,Precision difference (pp),MLP minus Ridge,0.6046074526048772
198,MAE difference (pp),MLP minus Zero growth,0.058350823589781164
198,MAE difference (pp),MLP minus Ridge,-0.009393228885894889
198,MAE difference (pp),Seasonal median minus Zero growth,-0.09167536271927901
199,Precision difference (pp),Ridge minus Size-only Ridge,3.903041988192002
199,Precision difference (pp),MLP minus Ridge,-0.7166789410881447
199,MAE difference (pp),MLP minus Zero growth,0.047794157898837675
199,MAE difference (pp),MLP minus Ridge,-0.00353259076366097
199,MAE difference (pp),Seasonal median minus Zero growth,-0.09064994777485103
200,Precision difference (pp),Ridge minus Size-only Ridge,3.6251725404505275
200,Precision difference (pp),MLP minus Ridge,-1.353334329377226
200,MAE difference (pp),MLP minus Zero growth,0.05225653121587781
200,MAE difference (pp),MLP minus Ridge,-0.019028566019920756
200,MAE difference (pp),Seasonal median minus Zero growth,-0.09093219106122152
201,Precision difference (pp),Ridge minus Size-only Ridge,3.996186728929707
201,Precision difference (pp),MLP minus Ridge,0.48179751614126076
201,MAE difference (pp),MLP minus Zero growth,0.014426339678507816
201,MAE difference (pp),MLP minus Ridge,-0.045365911118700364
201,MAE difference (pp),Seasonal median minus Zero growth,-0.0964570064040049
202,Precision difference (pp),Ridge minus Size-only Ridge,3.7940183515506516
202,Precision difference (pp),MLP minus Ridge,-0.23355355287478785
202,MAE difference (pp),MLP minus Zero growth,0.006351380270487095
202,MAE difference (pp),MLP minus Ridge,-0.02566205230846741
202,MAE difference (pp),Seasonal median minus Zero growth,-0.09788254064640656
203,Precision difference (pp),Ridge minus Size-only Ridge,3.5641900416543
203,Precision difference (pp),MLP minus Ridge,2.1427960772385957
203,MAE difference (pp),MLP minus Zero growth,0.011926160509767136
203,MAE difference (pp),MLP minus Ridge,-0.028114571227145557
203,MAE difference (pp),Seasonal median minus Zero growth,-0.10082940671738161
204,Precision difference (pp),Ridge minus Size-only Ridge,3.732386633171969
204,Precision difference (pp),MLP minus Ridge,-1.8040906492193254
204,MAE difference (pp),MLP minus Zero growth,0.03735062596379768
204,MAE difference (pp),MLP minus Ridge,0.00744342104719653
204,MAE difference (pp),Seasonal median minus Zero growth,-0.11120362695332497
205,Precision difference (pp),Ridge minus Size-only Ridge,5.229228409392994
205,Precision difference (pp),MLP minus Ridge,-1.9268704946128035
205,MAE difference (pp),MLP minus Zero growth,0.0621965072439119
205,MAE difference (pp),MLP minus Ridge,-0.004198788046643198
205,MAE difference (pp),Seasonal median minus Zero growth,-0.07779989794227626
206,Precision difference (pp),Ridge minus Size-only Ridge,2.415389030294912
206,Precision difference (pp),MLP minus Ridge,0.025198318081556814
206,MAE difference (pp),MLP minus Zero growth,0.05615780624843225
206,MAE difference (pp),MLP minus Ridge,0.007540038821424844
206,MAE difference (pp),Seasonal median minus Zero growth,-0.09802315057654143
207,Precision difference (pp),Ridge minus Size-only Ridge,1.637119390839112
207,Precision difference (pp),MLP minus Ridge,-0.9073897475554399
207,MAE difference (pp),MLP minus Zero growth,-0.01607722316343274
207,MAE difference (pp),MLP minus Ridge,-0.03736750689190993
207,MAE difference (pp),Seasonal median minus Zero growth,-0.11074359563123215
208,Precision difference (pp),Ridge minus Size-only Ridge,1.2961455231217474
208,Precision difference (pp),MLP minus Ridge,-0.05057303323743323
208,MAE difference (pp),MLP minus Zero growth,0.02959356199520302
208,MAE difference (pp),MLP minus Ridge,0.003214369113558213
208,MAE difference (pp),Seasonal median minus Zero growth,-0.10152937878517898
209,Precision difference (pp),Ridge minus Size-only Ridge,0.849454642515296
209,Precision difference (pp),MLP minus Ridge,0.16805756670316696
209,MAE difference (pp),MLP minus Zero growth,0.0753837493345868
209,MAE difference (pp),MLP minus Ridge,0.011639514084891722
209,MAE difference (pp),Seasonal median minus Zero growth,-0.10373822187353587
210,Precision difference (pp),Ridge minus Size-only Ridge,2.797086090812731
210,Precision difference (pp),MLP minus Ridge,1.6062269187383238
210,MAE difference (pp),MLP minus Zero growth,0.009930914016996972
210,MAE difference (pp),MLP minus Ridge,-0.018041193213628848
210,MAE difference (pp),Seasonal median minus Zero growth,-0.10624660049917534
211,Precision difference (pp),Ridge minus Size-only Ridge,2.12118041406725
211,Precision difference (pp),MLP minus Ridge,0.7991501364461168
211,MAE difference (pp),MLP minus Zero growth,-0.021533700345186535
211,MAE difference (pp),MLP minus Ridge,-0.054980626789995934
211,MAE difference (pp),Seasonal median minus Zero growth,-0.10243812202257807
212,Precision difference (pp),Ridge minus Size-only Ridge,4.53720042610711
212,Precision difference (pp),MLP minus Ridge,-0.9812946092037672
212,MAE difference (pp),MLP minus Zero growth,0.005976223718678231
212,MAE difference (pp),MLP minus Ridge,-0.039258663961382556
212,MAE difference (pp),Seasonal median minus Zero growth,-0.09873884555101808
213,Precision difference (pp),Ridge minus Size-only Ridge,0.5448799051427478
213,Precision difference (pp),MLP minus Ridge,2.0995665487803934
213,MAE difference (pp),MLP minus Zero growth,0.06468959422527654
213,MAE difference (pp),MLP minus Ridge,0.01256453544394498
213,MAE difference (pp),Seasonal median minus Zero growth,-0.10630327133878348
214,Precision difference (pp),Ridge minus Size-only Ridge,2.0711337893076442
214,Precision difference (pp),MLP minus Ridge,-0.002472529434330295
214,MAE difference (pp),MLP minus Zero growth,0.009979134872060147
214,MAE difference (pp),MLP minus Ridge,-0.01972136639986166
214,MAE difference (pp),Seasonal median minus Zero growth,-0.11303311918882519
215,Precision difference (pp),Ridge minus Size-only Ridge,3.5768502982220034
215,Precision difference (pp),MLP minus Ridge,-1.5238209899728794
215,MAE difference (pp),MLP minus Zero growth,0.03236100114310414
215,MAE difference (pp),MLP minus Ridge,-0.018005831721784826
215,MAE difference (pp),Seasonal median minus Zero growth,-0.0867700627974517
216,Precision difference (pp),Ridge minus Size-only Ridge,3.814805878798161
216,Precision difference (pp),MLP minus Ridge,0.07135606004806672
216,MAE difference (pp),MLP minus Zero growth,0.035881946684487964
216,MAE difference (pp),MLP minus Ridge,-0.04167556541114292
216,MAE difference (pp),Seasonal median minus Zero growth,-0.08209823152742635
217,Precision difference (pp),Ridge minus Size-only Ridge,3.1332035073977083
217,Precision difference (pp),MLP minus Ridge,-1.327815121161613
217,MAE difference (pp),MLP minus Zero growth,0.039295004316008963
217,MAE difference (pp),MLP minus Ridge,-0.013011677293384594
217,MAE difference (pp),Seasonal median minus Zero growth,-0.08894809574467821
218,Precision difference (pp),Ridge minus Size-only Ridge,3.325590287222116
218,Precision difference (pp),MLP minus Ridge,1.1110349081748656
218,MAE difference (pp),MLP minus Zero growth,0.06317204950811028
218,MAE difference (pp),MLP minus Ridge,-0.023581323337553695
218,MAE difference (pp),Seasonal median minus Zero growth,-0.08698820768121873
219,Precision difference (pp),Ridge minus Size-only Ridge,2.5158613667495775
219,Precision difference (pp),MLP minus Ridge,-0.34175142228787814
219,MAE difference (pp),MLP minus Zero growth,0.030760644462251463
219,MAE difference (pp),MLP minus Ridge,0.004559308628456549
219,MAE difference (pp),Seasonal median minus Zero growth,-0.10961679160860616
220,Precision difference (pp),Ridge minus Size-only Ridge,1.6340924440009035
220,Precision difference (pp),MLP minus Ridge,-0.4990234335150695
220,MAE difference (pp),MLP minus Zero growth,0.005732152462979201
220,MAE difference (pp),MLP minus Ridge,-0.01556530863773542
220,MAE difference (pp),Seasonal median minus Zero growth,-0.11037656754300462
221,Precision difference (pp),Ridge minus Size-only Ridge,2.0159290439157873
221,Precision difference (pp),MLP minus Ridge,2.0348311247148754
221,MAE difference (pp),MLP minus Zero growth,0.02733480181894743
221,MAE difference (pp),MLP minus Ridge,-0.010165689887649876
221,MAE difference (pp),Seasonal median minus Zero growth,-0.09587475268839052
222,Precision difference (pp),Ridge minus Size-only Ridge,1.3552250227412133
222,Precision difference (pp),MLP minus Ridge,-0.4182329084904096
222,MAE difference (pp),MLP minus Zero growth,0.0390419111927498
222,MAE difference (pp),MLP minus Ridge,-0.006105352270660003
222,MAE difference (pp),Seasonal median minus Zero growth,-0.10309437657567111
223,Precision difference (pp),Ridge minus Size-only Ridge,5.081236498799225
223,Precision difference (pp),MLP minus Ridge,0.46768648113729994
223,MAE difference (pp),MLP minus Zero growth,0.041967511832008864
223,MAE difference (pp),MLP minus Ridge,0.003200844816499071
223,MAE difference (pp),Seasonal median minus Zero growth,-0.10030581751718382
224,Precision difference (pp),Ridge minus Size-only Ridge,4.727150396062788
224,Precision difference (pp),MLP minus Ridge,-0.9124228149915425
224,MAE difference (pp),MLP minus Zero growth,0.024448249146188594
224,MAE difference (pp),MLP minus Ridge,-0.020301743460026334
224,MAE difference (pp),Seasonal median minus Zero growth,-0.0975752192728927
225,Precision difference (pp),Ridge minus Size-only Ridge,5.581061251891494
225,Precision difference (pp),MLP minus Ridge,0.17624100034400736
225,MAE difference (pp),MLP minus Zero growth,0.014727155721834695
225,MAE difference (pp),MLP minus Ridge,0.009273846205900327
225,MAE difference (pp),Seasonal median minus Zero growth,-0.12062377924292988
226,Precision difference (pp),Ridge minus Size-only Ridge,2.4141097076751272
226,Precision difference (pp),MLP minus Ridge,-0.6275120753952895
226,MAE difference (pp),MLP minus Zero growth,0.02586018196588835
226,MAE difference (pp),MLP minus Ridge,0.0011028159445536367
226,MAE difference (pp),Seasonal median minus Zero growth,-0.10396967676605051
227,Precision difference (pp),Ridge minus Size-only Ridge,2.785623024930392
227,Precision difference (pp),MLP minus Ridge,-0.6902569074566489
227,MAE difference (pp),MLP minus Zero growth,-0.004515972176014849
227,MAE difference (pp),MLP minus Ridge,-0.033237603612425115
227,MAE difference (pp),Seasonal median minus Zero growth,-0.10317032133578508
228,Precision difference (pp),Ridge minus Size-only Ridge,3.7221550417023104
228,Precision difference (pp),MLP minus Ridge,0.035514550289214575
228,MAE difference (pp),MLP minus Zero growth,0.0008788144127729325
228,MAE difference (pp),MLP minus Ridge,-0.0329821926816396
228,MAE difference (pp),Seasonal median minus Zero growth,-0.10133347852118035
229,Precision difference (pp),Ridge minus Size-only Ridge,3.4661042478615514
229,Precision difference (pp),MLP minus Ridge,-0.3247712622237886
229,MAE difference (pp),MLP minus Zero growth,0.0198546748354409
229,MAE difference (pp),MLP minus Ridge,0.003932510058548111
229,MAE difference (pp),Seasonal median minus Zero growth,-0.10827364892259794
230,Precision difference (pp),Ridge minus Size-only Ridge,3.653791942874765
230,Precision difference (pp),MLP minus Ridge,-1.481296846081284
230,MAE difference (pp),MLP minus Zero growth,-0.007671224557641132
230,MAE difference (pp),MLP minus Ridge,-0.03621868923466964
230,MAE difference (pp),Seasonal median minus Zero growth,-0.09840361517630969
231,Precision difference (pp),Ridge minus Size-only Ridge,4.0869928510693905
231,Precision difference (pp),MLP minus Ridge,0.8375079689085935
231,MAE difference (pp),MLP minus Zero growth,0.038622435600919935
231,MAE difference (pp),MLP minus Ridge,-0.022375298057290216
231,MAE difference (pp),Seasonal median minus Zero growth,-0.08869175562989584
232,Precision difference (pp),Ridge minus Size-only Ridge,2.7077166850869943
232,Precision difference (pp),MLP minus Ridge,0.36364173020716206
232,MAE difference (pp),MLP minus Zero growth,0.021261722840959063
232,MAE difference (pp),MLP minus Ridge,-0.021920119995924914
232,MAE difference (pp),Seasonal median minus Zero growth,-0.10426989200530645
233,Precision difference (pp),Ridge minus Size-only Ridge,3.3417952554514074
233,Precision difference (pp),MLP minus Ridge,-0.31280604045626215
233,MAE difference (pp),MLP minus Zero growth,0.01067974229681612
233,MAE difference (pp),MLP minus Ridge,-0.02657815350143311
233,MAE difference (pp),Seasonal median minus Zero growth,-0.09309723188063268
234,Precision difference (pp),Ridge minus Size-only Ridge,4.212042420826248
234,Precision difference (pp),MLP minus Ridge,-1.5458262663600038
234,MAE difference (pp),MLP minus Zero growth,0.034824149726423226
234,MAE difference (pp),MLP minus Ridge,-0.011692317763154936
234,MAE difference (pp),Seasonal median minus Zero growth,-0.10353802968055659
235,Precision difference (pp),Ridge minus Size-only Ridge,0.8571121370926499
235,Precision difference (pp),MLP minus Ridge,0.3097420286437086
235,MAE difference (pp),MLP minus Zero growth,6.27610076016083e-05
235,MAE difference (pp),MLP minus Ridge,-0.022827653763667133
235,MAE difference (pp),Seasonal median minus Zero growth,-0.09530593082435423
236,Precision difference (pp),Ridge minus Size-only Ridge,0.6516014880333237
236,Precision difference (pp),MLP minus Ridge,0.18909648290751646
236,MAE difference (pp),MLP minus Zero growth,0.019248635420014093
236,MAE difference (pp),MLP minus Ridge,-0.018401300803343457
236,MAE difference (pp),Seasonal median minus Zero growth,-0.10246879644599227
237,Precision difference (pp),Ridge minus Size-only Ridge,4.562884960303659
237,Precision difference (pp),MLP minus Ridge,1.8456011585209986
237,MAE difference (pp),MLP minus Zero growth,0.05209367064340675
237,MAE difference (pp),MLP minus Ridge,-0.0012861251765907689
237,MAE difference (pp),Seasonal median minus Zero growth,-0.10200050135584648
238,Precision difference (pp),Ridge minus Size-only Ridge,2.314976401047292
238,Precision difference (pp),MLP minus Ridge,0.18662958701539112
238,MAE difference (pp),MLP minus Zero growth,0.04461522517673622
238,MAE difference (pp),MLP minus Ridge,-0.0035741634204260464
238,MAE difference (pp),Seasonal median minus Zero growth,-0.09494232688039572
239,Precision difference (pp),Ridge minus Size-only Ridge,2.3395634676107586
239,Precision difference (pp),MLP minus Ridge,2.392333984413769
239,MAE difference (pp),MLP minus Zero growth,-0.00039801500895109143
239,MAE difference (pp),MLP minus Ridge,-0.008874647212855358
239,MAE difference (pp),Seasonal median minus Zero growth,-0.1049308525263517
240,Precision difference (pp),Ridge minus Size-only Ridge,2.0713829653163818
240,Precision difference (pp),MLP minus Ridge,-0.8131419758971692
240,MAE difference (pp),MLP minus Zero growth,-0.0004004473404157771
240,MAE difference (pp),MLP minus Ridge,-0.03706499805544361
240,MAE difference (pp),Seasonal median minus Zero growth,-0.10170506683801195
241,Precision difference (pp),Ridge minus Size-only Ridge,2.5267590606567913
241,Precision difference (pp),MLP minus Ridge,-0.5449091987351357
241,MAE difference (pp),MLP minus Zero growth,0.022963685642417797
241,MAE difference (pp),MLP minus Ridge,-0.003775129370125363
241,MAE difference (pp),Seasonal median minus Zero growth,-0.09989046639942778
242,Precision difference (pp),Ridge minus Size-only Ridge,3.078733563028113
242,Precision difference (pp),MLP minus Ridge,1.8997610167214933
242,MAE difference (pp),MLP minus Zero growth,0.017509557779499918
242,MAE difference (pp),MLP minus Ridge,-0.03912375234755805
242,MAE difference (pp),Seasonal median minus Zero growth,-0.09068412285560079
243,Precision difference (pp),Ridge minus Size-only Ridge,3.9937201664325905
243,Precision difference (pp),MLP minus Ridge,0.17847611573379718
243,MAE difference (pp),MLP minus Zero growth,0.02450783175556115
243,MAE difference (pp),MLP minus Ridge,-0.011040209598494943
243,MAE difference (pp),Seasonal median minus Zero growth,-0.10113526331155054
244,Precision difference (pp),Ridge minus Size-only Ridge,0.8542857149679173
244,Precision difference (pp),MLP minus Ridge,1.4967062282736032
244,MAE difference (pp),MLP minus Zero growth,0.04945410843481657
244,MAE difference (pp),MLP minus Ridge,-0.005172772584488339
244,MAE difference (pp),Seasonal median minus Zero growth,-0.08973518575939687
245,Precision difference (pp),Ridge minus Size-only Ridge,3.064505128167913
245,Precision difference (pp),MLP minus Ridge,0.5596924034047879
245,MAE difference (pp),MLP minus Zero growth,0.028396873649801257
245,MAE difference (pp),MLP minus Ridge,0.0034108772939758225
245,MAE difference (pp),Seasonal median minus Zero growth,-0.09657455894667821
246,Precision difference (pp),Ridge minus Size-only Ridge,4.8914139770482175
246,Precision difference (pp),MLP minus Ridge,-1.462374792466864
246,MAE difference (pp),MLP minus Zero growth,0.011706894064654527
246,MAE difference (pp),MLP minus Ridge,-0.03700597728329713
246,MAE difference (pp),Seasonal median minus Zero growth,-0.09281766924106005
247,Precision difference (pp),Ridge minus Size-only Ridge,2.3390927035107367
247,Precision difference (pp),MLP minus Ridge,0.8411423291566494
247,MAE difference (pp),MLP minus Zero growth,0.011539361715061425
247,MAE difference (pp),MLP minus Ridge,-0.010457497823786355
247,MAE difference (pp),Seasonal median minus Zero growth,-0.1035380601683582
248,Precision difference (pp),Ridge minus Size-only Ridge,3.20580395320183
248,Precision difference (pp),MLP minus Ridge,-0.027704392373989473
248,MAE difference (pp),MLP minus Zero growth,0.019499447587928653
248,MAE difference (pp),MLP minus Ridge,-0.010571358157820843
248,MAE difference (pp),Seasonal median minus Zero growth,-0.10503543671343829
249,Precision difference (pp),Ridge minus Size-only Ridge,3.4898575437943444
249,Precision difference (pp),MLP minus Ridge,-1.2777390881619026
249,MAE difference (pp),MLP minus Zero growth,0.028580867850569458
249,MAE difference (pp),MLP minus Ridge,-0.017460332168111936
249,MAE difference (pp),Seasonal median minus Zero growth,-0.09726780054679018
250,Precision difference (pp),Ridge minus Size-only Ridge,3.538469701691688
250,Precision difference (pp),MLP minus Ridge,0.6128528543864753
250,MAE difference (pp),MLP minus Zero growth,0.0011323752796204012
250,MAE difference (pp),MLP minus Ridge,-0.030662734251948542
250,MAE difference (pp),Seasonal median minus Zero growth,-0.10125892859474028
251,Precision difference (pp),Ridge minus Size-only Ridge,2.5290380803882573
251,Precision difference (pp),MLP minus Ridge,-1.4299769860404905
251,MAE difference (pp),MLP minus Zero growth,0.03648004718465181
251,MAE difference (pp),MLP minus Ridge,0.01828916827159599
251,MAE difference (pp),Seasonal median minus Zero growth,-0.11576149324289897
252,Precision difference (pp),Ridge minus Size-only Ridge,2.8211533334656314
252,Precision difference (pp),MLP minus Ridge,0.2383603984340399
252,MAE difference (pp),MLP minus Zero growth,0.030769681216994194
252,MAE difference (pp),MLP minus Ridge,-0.03019393788243674
252,MAE difference (pp),Seasonal median minus Zero growth,-0.09288986147070721
253,Precision difference (pp),Ridge minus Size-only Ridge,2.001529119445869
253,Precision difference (pp),MLP minus Ridge,-1.5940813202515558
253,MAE difference (pp),MLP minus Zero growth,0.06556069142670484
253,MAE difference (pp),MLP minus Ridge,0.025993626534933867
253,MAE difference (pp),Seasonal median minus Zero growth,-0.10334387629954778
254,Precision difference (pp),Ridge minus Size-only Ridge,-0.08844314917458296
254,Precision difference (pp),MLP minus Ridge,0.8419420386955645
254,MAE difference (pp),MLP minus Zero growth,0.046885855433361545
254,MAE difference (pp),MLP minus Ridge,-0.005635961174624171
254,MAE difference (pp),Seasonal median minus Zero growth,-0.09974320968708916
255,Precision difference (pp),Ridge minus Size-only Ridge,2.6661860753299793
255,Precision difference (pp),MLP minus Ridge,1.2904326242558883
255,MAE difference (pp),MLP minus Zero growth,0.045863686122769476
255,MAE difference (pp),MLP minus Ridge,0.00480345868293508
255,MAE difference (pp),Seasonal median minus Zero growth,-0.10445150216415611
256,Precision difference (pp),Ridge minus Size-only Ridge,2.542430501055659
256,Precision difference (pp),MLP minus Ridge,-0.5429547446450911
256,MAE difference (pp),MLP minus Zero growth,0.022021883953944776
256,MAE difference (pp),MLP minus Ridge,-0.016765506115071993
256,MAE difference (pp),Seasonal median minus Zero growth,-0.10813271217857734
257,Precision difference (pp),Ridge minus Size-only Ridge,1.8609052594695834
257,Precision difference (pp),MLP minus Ridge,0.6607974038826625
257,MAE difference (pp),MLP minus Zero growth,0.019352231465263436
257,MAE difference (pp),MLP minus Ridge,-0.014862018300099145
257,MAE difference (pp),Seasonal median minus Zero growth,-0.09688554716070374
258,Precision difference (pp),Ridge minus Size-only Ridge,4.334853811840997
258,Precision difference (pp),MLP minus Ridge,-1.1932093831199753
258,MAE difference (pp),MLP minus Zero growth,0.016365892272330207
258,MAE difference (pp),MLP minus Ridge,-0.02527222974308696
258,MAE difference (pp),Seasonal median minus Zero growth,-0.10170750720487787
259,Precision difference (pp),Ridge minus Size-only Ridge,3.0478810824567883
259,Precision difference (pp),MLP minus Ridge,-0.6292603697292898
259,MAE difference (pp),MLP minus Zero growth,-0.02431012604015903
259,MAE difference (pp),MLP minus Ridge,-0.018363610409621423
259,MAE difference (pp),Seasonal median minus Zero growth,-0.11475685613487174
260,Precision difference (pp),Ridge minus Size-only Ridge,2.5378081019324705
260,Precision difference (pp),MLP minus Ridge,-0.835666517973957
260,MAE difference (pp),MLP minus Zero growth,0.013057964979906966
260,MAE difference (pp),MLP minus Ridge,-0.04430187769603622
260,MAE difference (pp),Seasonal median minus Zero growth,-0.09460648015195083
261,Precision difference (pp),Ridge minus Size-only Ridge,5.34542871886449
261,Precision difference (pp),MLP minus Ridge,-1.3864784860387696
261,MAE difference (pp),MLP minus Zero growth,0.022653805147921702
261,MAE difference (pp),MLP minus Ridge,-0.033377493593786944
261,MAE difference (pp),Seasonal median minus Zero growth,-0.08572347486784127
262,Precision difference (pp),Ridge minus Size-only Ridge,2.8610257693130166
262,Precision difference (pp),MLP minus Ridge,-1.6078589270578203
262,MAE difference (pp),MLP minus Zero growth,0.023969871031035428
262,MAE difference (pp),MLP minus Ridge,-0.01568311374702258
262,MAE difference (pp),Seasonal median minus Zero growth,-0.10337507133394652
263,Precision difference (pp),Ridge minus Size-only Ridge,3.218697775702048
263,Precision difference (pp),MLP minus Ridge,-0.043288531746321635
263,MAE difference (pp),MLP minus Zero growth,0.0635113999730259
263,MAE difference (pp),MLP minus Ridge,-0.006174219800247904
263,MAE difference (pp),Seasonal median minus Zero growth,-0.08904872309908862
264,Precision difference (pp),Ridge minus Size-only Ridge,4.900236805573585
264,Precision difference (pp),MLP minus Ridge,-2.443417056470523
264,MAE difference (pp),MLP minus Zero growth,0.03724381089454143
264,MAE difference (pp),MLP minus Ridge,-0.0017834497096762547
264,MAE difference (pp),Seasonal median minus Zero growth,-0.10009575738799859
265,Precision difference (pp),Ridge minus Size-only Ridge,4.621434621915172
265,Precision difference (pp),MLP minus Ridge,-2.330923644446936
265,MAE difference (pp),MLP minus Zero growth,0.059657659981443345
265,MAE difference (pp),MLP minus Ridge,-0.006026016828755143
265,MAE difference (pp),Seasonal median minus Zero growth,-0.09847253370167408
266,Precision difference (pp),Ridge minus Size-only Ridge,1.8168412205314066
266,Precision difference (pp),MLP minus Ridge,0.41734023420332556
266,MAE difference (pp),MLP minus Zero growth,0.048862945226118004
266,MAE difference (pp),MLP minus Ridge,0.0028711953851634497
266,MAE difference (pp),Seasonal median minus Zero growth,-0.11101074897676622
267,Precision difference (pp),Ridge minus Size-only Ridge,2.1105885249121323
267,Precision difference (pp),MLP minus Ridge,-1.0319599287934467
267,MAE difference (pp),MLP minus Zero growth,0.04099423726068663
267,MAE difference (pp),MLP minus Ridge,0.000775756184205445
267,MAE difference (pp),Seasonal median minus Zero growth,-0.10808205415217964
268,Precision difference (pp),Ridge minus Size-only Ridge,2.851173722900663
268,Precision difference (pp),MLP minus Ridge,-0.37597221448562035
268,MAE difference (pp),MLP minus Zero growth,0.03212125729319437
268,MAE difference (pp),MLP minus Ridge,-0.00968293855950142
268,MAE difference (pp),Seasonal median minus Zero growth,-0.10250610644546176
269,Precision difference (pp),Ridge minus Size-only Ridge,1.046962452603037
269,Precision difference (pp),MLP minus Ridge,-1.2699926829029207
269,MAE difference (pp),MLP minus Zero growth,0.04906066526747477
269,MAE difference (pp),MLP minus Ridge,0.002584448751389523
269,MAE difference (pp),Seasonal median minus Zero growth,-0.1017445958186487
270,Precision difference (pp),Ridge minus Size-only Ridge,4.027797859766821
270,Precision difference (pp),MLP minus Ridge,-0.13535907069900377
270,MAE difference (pp),MLP minus Zero growth,0.04507804676715965
270,MAE difference (pp),MLP minus Ridge,-0.016618091525511414
270,MAE difference (pp),Seasonal median minus Zero growth,-0.10042192678880069
271,Precision difference (pp),Ridge minus Size-only Ridge,4.417605881957315
271,Precision difference (pp),MLP minus Ridge,-0.83309840719272
271,MAE difference (pp),MLP minus Zero growth,0.02814824989903686
271,MAE difference (pp),MLP minus Ridge,-0.015034011044591011
271,MAE difference (pp),Seasonal median minus Zero growth,-0.09950414928355666
272,Precision difference (pp),Ridge minus Size-only Ridge,4.013050912290134
272,Precision difference (pp),MLP minus Ridge,-0.2664190749428974
272,MAE difference (pp),MLP minus Zero growth,0.056181759600980374
272,MAE difference (pp),MLP minus Ridge,0.010842272249734997
272,MAE difference (pp),Seasonal median minus Zero growth,-0.10516738668085779
273,Precision difference (pp),Ridge minus Size-only Ridge,3.496199241816436
273,Precision difference (pp),MLP minus Ridge,-1.561042696652462
273,MAE difference (pp),MLP minus Zero growth,0.02095749447817763
273,MAE difference (pp),MLP minus Ridge,-0.016594737461851583
273,MAE difference (pp),Seasonal median minus Zero growth,-0.09806359214455673
274,Precision difference (pp),Ridge minus Size-only Ridge,4.992841969951053
274,Precision difference (pp),MLP minus Ridge,-0.2525785949823278
274,MAE difference (pp),MLP minus Zero growth,0.022825780506386284
274,MAE difference (pp),MLP minus Ridge,-0.03077602848460792
274,MAE difference (pp),Seasonal median minus Zero growth,-0.10126261482084464
275,Precision difference (pp),Ridge minus Size-only Ridge,3.4695177858872412
275,Precision difference (pp),MLP minus Ridge,0.6200078750470267
275,MAE difference (pp),MLP minus Zero growth,0.009359323062317237
275,MAE difference (pp),MLP minus Ridge,-0.04142086421830404
275,MAE difference (pp),Seasonal median minus Zero growth,-0.09784536668065202
276,Precision difference (pp),Ridge minus Size-only Ridge,2.7477718601084167
276,Precision difference (pp),MLP minus Ridge,-1.0680504116578393
276,MAE difference (pp),MLP minus Zero growth,0.053249128984139915
276,MAE difference (pp),MLP minus Ridge,0.008750153398241256
276,MAE difference (pp),Seasonal median minus Zero growth,-0.10472134030691649
277,Precision difference (pp),Ridge minus Size-only Ridge,4.184075976215279
277,Precision difference (pp),MLP minus Ridge,-0.03015980457549139
