Repeat,Metric,Comparison,Difference
19,MAE difference (pp),MLP minus Ridge,-0.02035733715005783
19,MAE difference (pp),Seasonal median minus Zero growth,-0.1061494578579949
20,Precision difference (pp),Ridge minus Size-only Ridge,1.6042015010513833
20,Precision difference (pp),MLP minus Ridge,-0.12774062779229434
20,MAE difference (pp),MLP minus Zero growth,0.025810151356009392
20,MAE difference (pp),MLP minus Ridge,-0.018852662012220023
20,MAE difference (pp),Seasonal median minus Zero growth,-0.10214807450054098
21,Precision difference (pp),Ridge minus Size-only Ridge,5.385934648125934
21,Precision difference (pp),MLP minus Ridge,0.19545973642538517
21,MAE difference (pp),MLP minus Zero growth,0.03854526042910589
21,MAE difference (pp),MLP minus Ridge,-0.00031055078591935015
21,MAE difference (pp),Seasonal median minus Zero growth,-0.09914650551932525
22,Precision difference (pp),Ridge minus Size-only Ridge,1.3235356065417259
22,Precision difference (pp),MLP minus Ridge,0.36627491017270364
22,MAE difference (pp),MLP minus Zero growth,0.026483623686438307
22,MAE difference (pp),MLP minus Ridge,-0.008662667465561213
22,MAE difference (pp),Seasonal median minus Zero growth,-0.10409501181029901
23,Precision difference (pp),Ridge minus Size-only Ridge,3.034986325449371
23,Precision difference (pp),MLP minus Ridge,-0.05335135049361617
23,MAE difference (pp),MLP minus Zero growth,-0.0024345428065553065
23,MAE difference (pp),MLP minus Ridge,-0.018548778633987517
23,MAE difference (pp),Seasonal median minus Zero growth,-0.10759336388789276
24,Precision difference (pp),Ridge minus Size-only Ridge,2.541818042580346
24,Precision difference (pp),MLP minus Ridge,-0.6662121619450789
24,MAE difference (pp),MLP minus Zero growth,0.00566951767644186
24,MAE difference (pp),MLP minus Ridge,-0.008554178327505824
24,MAE difference (pp),Seasonal median minus Zero growth,-0.1195163931430594
25,Precision difference (pp),Ridge minus Size-only Ridge,2.535242967662252
25,Precision difference (pp),MLP minus Ridge,-1.6992671857475523
25,MAE difference (pp),MLP minus Zero growth,0.05132065827792642
25,MAE difference (pp),MLP minus Ridge,0.004663770585979776
25,MAE difference (pp),Seasonal median minus Zero growth,-0.09868584816364967
26,Precision difference (pp),Ridge minus Size-only Ridge,4.604259988398088
26,Precision difference (pp),MLP minus Ridge,-0.5081752399655692
26,MAE difference (pp),MLP minus Zero growth,0.0318221523640676
26,MAE difference (pp),MLP minus Ridge,0.005061899728685759
26,MAE difference (pp),Seasonal median minus Zero growth,-0.09668073411840084
27,Precision difference (pp),Ridge minus Size-only Ridge,2.285912666331144
27,Precision difference (pp),MLP minus Ridge,1.9879212828706083
27,MAE difference (pp),MLP minus Zero growth,0.00450952630481849
27,MAE difference (pp),MLP minus Ridge,-0.013475180018843957
27,MAE difference (pp),Seasonal median minus Zero growth,-0.10931237264874971
28,Precision difference (pp),Ridge minus Size-only Ridge,3.022314386313102
28,Precision difference (pp),MLP minus Ridge,-0.922050528373064
