Model,Precision,Lift
Ridge,0.2190322430053551,2.187584497469604
MLP,0.2176705377421101,2.173837508494051
Size-only Ridge,0.18817742481693553,1.87931310665443
Persistence,0.12616906388670932,1.2600507385702888
