CERT,Quarter,Model,Selected,Hit
1141,2024-03-31,Persistence,0,0
1147,2024-03-31,Persistence,0,0
1150,2024-03-31,Persistence,1,1
1163,2024-03-31,Persistence,0,0
1164,2024-03-31,Persistence,0,0
1165,2024-03-31,Persistence,0,0
1167,2024-03-31,Persistence,0,0
1169,2024-03-31,Persistence,1,0
1184,2024-03-31,Persistence,0,0
1198,2024-03-31,Persistence,0,0
1208,2024-03-31,Persistence,0,0
1209,2024-03-31,Persistence,0,0
1210,2024-03-31,Persistence,0,0
1213,2024-03-31,Persistence,0,0
1218,2024-03-31,Persistence,0,0
1219,2024-03-31,Persistence,0,0
1225,2024-03-31,Persistence,0,0
1237,2024-03-31,Persistence,0,0
1265,2024-03-31,Persistence,0,0
1281,2024-03-31,Persistence,0,0
1291,2024-03-31,Persistence,0,0
1294,2024-03-31,Persistence,0,0
1296,2024-03-31,Persistence,0,0
1299,2024-03-31,Persistence,0,0
1331,2024-03-31,Persistence,0,0
1365,2024-03-31,Persistence,0,0
1373,2024-03-31,Persistence,0,0
1374,2024-03-31,Persistence,0,0
1376,2024-03-31,Persistence,1,0
1380,2024-03-31,Persistence,0,0
1386,2024-03-31,Persistence,1,0
1391,2024-03-31,Persistence,0,0
1399,2024-03-31,Persistence,0,0
1402,2024-03-31,Persistence,1,0
1409,2024-03-31,Persistence,0,0
1413,2024-03-31,Persistence,0,0
1415,2024-03-31,Persistence,0,0
1417,2024-03-31,Persistence,0,0
1418,2024-03-31,Persistence,0,0
1426,2024-03-31,Persistence,0,0
1427,2024-03-31,Persistence,0,0
1434,2024-03-31,Persistence,0,0
1435,2024-03-31,Persistence,0,0
1438,2024-03-31,Persistence,0,0
1439,2024-03-31,Persistence,1,0
1464,2024-03-31,Persistence,0,0
1468,2024-03-31,Persistence,0,0
1475,2024-03-31,Persistence,0,0
1484,2024-03-31,Persistence,0,0
1487,2024-03-31,Persistence,0,0
1497,2024-03-31,Persistence,0,0
1513,2024-03-31,Persistence,0,0
1527,2024-03-31,Persistence,0,0
1528,2024-03-31,Persistence,0,0
1536,2024-03-31,Persistence,0,0
1545,2024-03-31,Persistence,0,0
1547,2024-03-31,Persistence,0,0
1550,2024-03-31,Persistence,0,0
1552,2024-03-31,Persistence,0,0
1553,2024-03-31,Persistence,0,0
1556,2024-03-31,Persistence,0,0
1562,2024-03-31,Persistence,0,0
1566,2024-03-31,Persistence,0,0
1596,2024-03-31,Persistence,0,0
1600,2024-03-31,Persistence,0,0
1604,2024-03-31,Persistence,0,0
1607,2024-03-31,Persistence,0,0
1609,2024-03-31,Persistence,0,0
1610,2024-03-31,Persistence,0,0
1611,2024-03-31,Persistence,0,0
1612,2024-03-31,Persistence,0,0
1616,2024-03-31,Persistence,0,0
1617,2024-03-31,Persistence,0,0
1622,2024-03-31,Persistence,0,0
1639,2024-03-31,Persistence,0,0
1654,2024-03-31,Persistence,1,0
1655,2024-03-31,Persistence,0,0
1660,2024-03-31,Persistence,1,0
1673,2024-03-31,Persistence,0,0
1675,2024-03-31,Persistence,1,1
1678,2024-03-31,Persistence,0,0
1686,2024-03-31,Persistence,0,0
1687,2024-03-31,Persistence,0,0
1693,2024-03-31,Persistence,0,0
1696,2024-03-31,Persistence,0,0
1700,2024-03-31,Persistence,0,0
1705,2024-03-31,Persistence,0,0
1711,2024-03-31,Persistence,0,0
1713,2024-03-31,Persistence,0,0
1715,2024-03-31,Persistence,0,0
1720,2024-03-31,Persistence,0,0
1730,2024-03-31,Persistence,0,0
1735,2024-03-31,Persistence,1,0
1745,2024-03-31,Persistence,1,1
1753,2024-03-31,Persistence,0,0
1756,2024-03-31,Persistence,0,0
1768,2024-03-31,Persistence,0,0
1778,2024-03-31,Persistence,0,0
1779,2024-03-31,Persistence,0,0
1780,2024-03-31,Persistence,0,0
1781,2024-03-31,Persistence,1,0
1786,2024-03-31,Persistence,0,0
1808,2024-03-31,Persistence,0,0
1821,2024-03-31,Persistence,0,0
1829,2024-03-31,Persistence,0,0
1833,2024-03-31,Persistence,0,0
1839,2024-03-31,Persistence,0,0
1843,2024-03-31,Persistence,0,0
1847,2024-03-31,Persistence,0,0
1849,2024-03-31,Persistence,0,0
1852,2024-03-31,Persistence,0,0
1857,2024-03-31,Persistence,0,0
1860,2024-03-31,Persistence,0,0
1862,2024-03-31,Persistence,0,0
1865,2024-03-31,Persistence,0,0
1867,2024-03-31,Persistence,0,0
1868,2024-03-31,Persistence,0,0
1869,2024-03-31,Persistence,0,0
1874,2024-03-31,Persistence,0,0
1895,2024-03-31,Persistence,1,0
1900,2024-03-31,Persistence,0,0
1903,2024-03-31,Persistence,0,0
1905,2024-03-31,Persistence,0,0
1906,2024-03-31,Persistence,0,0
1908,2024-03-31,Persistence,0,0
1913,2024-03-31,Persistence,0,0
1929,2024-03-31,Persistence,0,0
1931,2024-03-31,Persistence,0,0
1933,2024-03-31,Persistence,0,0
1936,2024-03-31,Persistence,1,0
1937,2024-03-31,Persistence,0,0
1941,2024-03-31,Persistence,0,0
1945,2024-03-31,Persistence,0,0
1946,2024-03-31,Persistence,0,0
1956,2024-03-31,Persistence,0,0
1964,2024-03-31,Persistence,0,0
1972,2024-03-31,Persistence,0,0
1978,2024-03-31,Persistence,0,0
1980,2024-03-31,Persistence,0,0
1982,2024-03-31,Persistence,0,0
1983,2024-03-31,Persistence,0,0
1986,2024-03-31,Persistence,0,0
1992,2024-03-31,Persistence,0,0
1993,2024-03-31,Persistence,0,0
2036,2024-03-31,Persistence,0,0
2057,2024-03-31,Persistence,0,0
2068,2024-03-31,Persistence,0,0
2093,2024-03-31,Persistence,0,0
2102,2024-03-31,Persistence,0,0
2107,2024-03-31,Persistence,0,0
2138,2024-03-31,Persistence,0,0
2145,2024-03-31,Persistence,0,0
2154,2024-03-31,Persistence,0,0
2157,2024-03-31,Persistence,0,0
2160,2024-03-31,Persistence,0,0
2205,2024-03-31,Persistence,0,0
2208,2024-03-31,Persistence,0,0
2224,2024-03-31,Persistence,0,0
2228,2024-03-31,Persistence,0,0
2229,2024-03-31,Persistence,0,0
2232,2024-03-31,Persistence,0,0
2240,2024-03-31,Persistence,0,0
2241,2024-03-31,Persistence,0,0
2244,2024-03-31,Persistence,0,0
2247,2024-03-31,Persistence,0,0
2249,2024-03-31,Persistence,0,0
2270,2024-03-31,Persistence,0,0
2273,2024-03-31,Persistence,0,0
2284,2024-03-31,Persistence,0,0
2285,2024-03-31,Persistence,0,0
2286,2024-03-31,Persistence,0,0
2289,2024-03-31,Persistence,0,0
2290,2024-03-31,Persistence,0,0
