Period,Model,Rows,MAE (pp),RMSE (pp)
Validation,Training median,13834,4.822831913145231,122.49295126748807
Validation,Seasonal median,13834,4.742972070156753,122.4876619316257
Validation,Size-only Ridge,13834,5.031079836418482,122.49489457309369
Reused 2024,Training median,13532,3.5331725570914294,6.569467926401057
Reused 2024,Seasonal median,13532,3.500315663018806,6.5677056280289134
Reused 2024,Size-only Ridge,13532,3.653630178811414,6.565709345349902
