Model,MAE (pp),RMSE (pp)
Zero growth,3.601063663616614,6.718198451753548
Persistence,5.110073267139842,9.455749860546257
Ridge,3.6410362808759604,6.5121938244633695
MLP,3.627317977895338,6.429240270152202
TimesFM,6.171345064940612,294.5405905965357
