Quarter,Asset group,Field,Rows,API populated,Zero values,Date,Coverage,Zero share,Missing,Zero,Nonzero
20210331,At least USD 1bn,DEPUNINS,979,979,8,2021-03-31,1.0,0.008171603677221655,0,8,971
20210331,Below USD 1bn,DEPUNA,4065,4065,4063,2021-03-31,1.0,0.9995079950799508,0,4063,2
20210331,Below USD 1bn,DEPUNINS,4065,4065,61,2021-03-31,1.0,0.015006150061500615,0,61,4004
20210630,At least USD 1bn,DEPUNA,992,992,210,2021-06-30,1.0,0.21169354838709678,0,210,782
20210630,At least USD 1bn,DEPUNINS,992,992,8,2021-06-30,1.0,0.008064516129032258,0,8,984
20210630,Below USD 1bn,DEPUNA,4023,4023,4020,2021-06-30,1.0,0.9992542878448919,0,4020,3
20210630,Below USD 1bn,DEPUNINS,4023,4023,60,2021-06-30,1.0,0.014914243102162566,0,60,3963
20210930,At least USD 1bn,DEPUNA,1011,1011,233,2021-09-30,1.0,0.2304648862512364,0,233,778
20210930,At least USD 1bn,DEPUNINS,1011,1011,9,2021-09-30,1.0,0.008902077151335312,0,9,1002
20210930,Below USD 1bn,DEPUNA,3968,3968,3967,2021-09-30,1.0,0.9997479838709677,0,3967,1
20210930,Below USD 1bn,DEPUNINS,3968,3968,59,2021-09-30,1.0,0.014868951612903226,0,59,3909
20211231,At least USD 1bn,DEPUNA,990,990,229,2021-12-31,1.0,0.2313131313131313,0,229,761
20211231,At least USD 1bn,DEPUNINS,990,990,9,2021-12-31,1.0,0.00909090909090909,0,9,981
20211231,Below USD 1bn,DEPUNA,3914,3914,3913,2021-12-31,1.0,0.9997445068983137,0,3913,1
20211231,Below USD 1bn,DEPUNINS,3914,3914,59,2021-12-31,1.0,0.015074092999489013,0,59,3855
20220331,At least USD 1bn,DEPUNA,1003,1003,69,2022-03-31,1.0,0.06879361914257229,0,69,934
20220331,At least USD 1bn,DEPUNINS,1003,1003,10,2022-03-31,1.0,0.009970089730807577,0,10,993
20220331,Below USD 1bn,DEPUNA,3858,3858,3850,2022-03-31,1.0,0.997926386728875,0,3850,8
20220331,Below USD 1bn,DEPUNINS,3858,3858,59,2022-03-31,1.0,0.015292897874546397,0,59,3799
20220630,At least USD 1bn,DEPUNA,994,994,74,2022-06-30,1.0,0.0744466800804829,0,74,920
20220630,At least USD 1bn,DEPUNINS,994,994,10,2022-06-30,1.0,0.01006036217303823,0,10,984
20220630,Below USD 1bn,DEPUNA,3844,3844,3830,2022-06-30,1.0,0.9963579604578564,0,3830,14
20220630,Below USD 1bn,DEPUNINS,3844,3844,61,2022-06-30,1.0,0.01586888657648283,0,61,3783
20220930,At least USD 1bn,DEPUNA,1005,1005,88,2022-09-30,1.0,0.08756218905472637,0,88,917
20220930,At least USD 1bn,DEPUNINS,1005,1005,11,2022-09-30,1.0,0.010945273631840797,0,11,994
20220930,Below USD 1bn,DEPUNA,3808,3808,3795,2022-09-30,1.0,0.9965861344537815,0,3795,13
20220930,Below USD 1bn,DEPUNINS,3808,3808,60,2022-09-30,1.0,0.015756302521008403,0,60,3748
20221231,At least USD 1bn,DEPUNA,999,999,87,2022-12-31,1.0,0.08708708708708708,0,87,912
20221231,At least USD 1bn,DEPUNINS,999,999,11,2022-12-31,1.0,0.011011011011011011,0,11,988
20221231,Below USD 1bn,DEPUNA,3774,3774,3760,2022-12-31,1.0,0.9962904080551139,0,3760,14
20221231,Below USD 1bn,DEPUNINS,3774,3774,60,2022-12-31,1.0,0.01589825119236884,0,60,3714
20230331,At least USD 1bn,DEPUNA,1007,1007,56,2023-03-31,1.0,0.05561072492552135,0,56,951
20230331,At least USD 1bn,DEPUNINS,1007,1007,11,2023-03-31,1.0,0.010923535253227408,0,11,996
20230331,Below USD 1bn,DEPUNA,3733,3733,3717,2023-03-31,1.0,0.995713903027056,0,3717,16
20230331,Below USD 1bn,DEPUNINS,3733,3733,58,2023-03-31,1.0,0.015537101526922047,0,58,3675
20230630,At least USD 1bn,DEPUNA,1010,1010,66,2023-06-30,1.0,0.06534653465346535,0,66,944
20230630,At least USD 1bn,DEPUNINS,1010,1010,11,2023-06-30,1.0,0.01089108910891089,0,11,999
20230630,Below USD 1bn,DEPUNA,3704,3704,3688,2023-06-30,1.0,0.9956803455723542,0,3688,16
