CERT,report_date,event_date,event_type,event_name,register_id
4134,2024-09-30,2024-10-18,FAILURE,FIRST NB OF LINDSAY,4111
28611,2024-09-30,2025-01-17,FAILURE,PULASKI SAVINGS BANK,4112
